ID,DOY,Date,Month,Period,Lat,Long,Temp,Temp_mean,Veg,Veg.21Day
1,1,01/Jan,1,LGM,47.50,20.00,-14.90,-15.62,0,0
2,2,02/Jan,1,LGM,47.50,20.00,-16.34,-15.77,0,0
3,3,03/Jan,1,LGM,47.50,20.00,-16.06,-16.06,0,0
4,4,04/Jan,1,LGM,47.50,20.00,-15.77,-15.29,0,0
5,5,05/Jan,1,LGM,47.50,20.00,-14.03,-14.20,0,0
6,6,06/Jan,1,LGM,47.50,20.00,-12.80,-14.43,0,0
7,7,07/Jan,1,LGM,47.50,20.00,-16.45,-14.79,0,0
8,8,08/Jan,1,LGM,47.50,20.00,-15.11,-15.52,0,0
9,9,09/Jan,1,LGM,47.50,20.00,-14.99,-15.44,0,0
10,10,10/Jan,1,LGM,47.50,20.00,-16.21,-15.72,0,0
11,11,11/Jan,1,LGM,47.50,20.00,-15.97,-15.17,0,0
12,12,12/Jan,1,LGM,47.50,20.00,-13.33,-14.48,0,0
13,13,13/Jan,1,LGM,47.50,20.00,-14.13,-14.67,0,0
14,14,14/Jan,1,LGM,47.50,20.00,-16.55,-15.19,0,0
15,15,15/Jan,1,LGM,47.50,20.00,-14.89,-15.38,0,0
16,16,16/Jan,1,LGM,47.50,20.00,-14.71,-15.58,0,0
17,17,17/Jan,1,LGM,47.50,20.00,-17.15,-16.36,0,0
18,18,18/Jan,1,LGM,47.50,20.00,-17.22,-16.43,0,0
19,19,19/Jan,1,LGM,47.50,20.00,-14.91,-14.84,0,0
20,20,20/Jan,1,LGM,47.50,20.00,-12.40,-12.17,0,0
21,21,21/Jan,1,LGM,47.50,20.00,-9.20,-10.40,0,0
22,22,22/Jan,1,LGM,47.50,20.00,-9.60,-9.77,0,0
23,23,23/Jan,1,LGM,47.50,20.00,-10.51,-10.62,0,0
24,24,24/Jan,1,LGM,47.50,20.00,-11.76,-11.26,0,0
25,25,25/Jan,1,LGM,47.50,20.00,-11.50,-11.92,0,0
26,26,26/Jan,1,LGM,47.50,20.00,-12.51,-12.51,0,0
27,27,27/Jan,1,LGM,47.50,20.00,-13.52,-13.11,0,0
28,28,28/Jan,1,LGM,47.50,20.00,-13.30,-13.20,0,0
29,29,29/Jan,1,LGM,47.50,20.00,-12.79,-12.24,0,0
30,30,30/Jan,1,LGM,47.50,20.00,-10.62,-11.28,0,0
31,31,31/Jan,1,LGM,47.50,20.00,-10.42,-10.76,0,0
32,32,01/Feb,2,LGM,47.50,20.00,-11.24,-10.86,0,0
33,33,02/Feb,2,LGM,47.50,20.00,-10.92,-10.84,0,0
34,34,03/Feb,2,LGM,47.50,20.00,-10.36,-10.95,0,0
35,35,04/Feb,2,LGM,47.50,20.00,-11.56,-11.14,0,0
36,36,05/Feb,2,LGM,47.50,20.00,-11.51,-11.76,0,0
37,37,06/Feb,2,LGM,47.50,20.00,-12.22,-12.42,0,0
38,38,07/Feb,2,LGM,47.50,20.00,-13.52,-13.66,0,0
39,39,08/Feb,2,LGM,47.50,20.00,-15.25,-14.50,0,0
40,40,09/Feb,2,LGM,47.50,20.00,-14.74,-13.89,0,0
41,41,10/Feb,2,LGM,47.50,20.00,-11.69,-13.16,0,0
42,42,11/Feb,2,LGM,47.50,20.00,-13.06,-13.25,0,0
43,43,12/Feb,2,LGM,47.50,20.00,-15.00,-14.12,0,0
44,44,13/Feb,2,LGM,47.50,20.00,-14.29,-14.35,0,0
45,45,14/Feb,2,LGM,47.50,20.00,-13.76,-13.26,0,0
46,46,15/Feb,2,LGM,47.50,20.00,-11.72,-12.47,0,0
47,47,16/Feb,2,LGM,47.50,20.00,-11.93,-12.07,0,0
48,48,17/Feb,2,LGM,47.50,20.00,-12.56,-11.99,0,0
49,49,18/Feb,2,LGM,47.50,20.00,-11.49,-11.78,0,0
50,50,19/Feb,2,LGM,47.50,20.00,-11.30,-11.76,0,0
51,51,20/Feb,2,LGM,47.50,20.00,-12.48,-12.63,0,0
52,52,21/Feb,2,LGM,47.50,20.00,-14.11,-14.30,0,0
53,53,22/Feb,2,LGM,47.50,20.00,-16.30,-14.92,0,0
54,54,23/Feb,2,LGM,47.50,20.00,-14.35,-14.09,0,0
55,55,24/Feb,2,LGM,47.50,20.00,-11.62,-11.89,0,0
56,56,25/Feb,2,LGM,47.50,20.00,-9.71,-10.30,0,0
57,57,26/Feb,2,LGM,47.50,20.00,-9.57,-10.14,0,0
58,58,27/Feb,2,LGM,47.50,20.00,-11.15,-11.05,0,0
59,59,28/Feb,2,LGM,47.50,20.00,-12.43,-11.69,0,0
60,60,01/Mar,3,LGM,47.50,20.00,-11.48,-11.82,0,0
61,61,02/Mar,3,LGM,47.50,20.00,-11.56,-11.55,0,0
62,62,03/Mar,3,LGM,47.50,20.00,-11.60,-10.96,0,0
63,63,04/Mar,3,LGM,47.50,20.00,-9.73,-10.19,0,0
64,64,05/Mar,3,LGM,47.50,20.00,-9.23,-9.12,0,0
65,65,06/Mar,3,LGM,47.50,20.00,-8.39,-9.01,0,0
66,66,07/Mar,3,LGM,47.50,20.00,-9.40,-9.17,0,0
67,67,08/Mar,3,LGM,47.50,20.00,-9.72,-9.52,0,0
68,68,09/Mar,3,LGM,47.50,20.00,-9.44,-9.29,0,0
69,69,10/Mar,3,LGM,47.50,20.00,-8.70,-9.53,0,0
70,70,11/Mar,3,LGM,47.50,20.00,-10.45,-9.65,0,0
71,71,12/Mar,3,LGM,47.50,20.00,-9.80,-10.20,0,0
72,72,13/Mar,3,LGM,47.50,20.00,-10.35,-10.63,0,0
73,73,14/Mar,3,LGM,47.50,20.00,-11.74,-10.88,0,0
74,74,15/Mar,3,LGM,47.50,20.00,-10.54,-10.70,0,0
