Time,1,2,3,4,5,6,7,8,9,10,11,12
GS-3,-2.1,-2,-2.4,-2.6,-2.6,-1.7,-1.8,-1.7,-1.8,-1.8,-1.7,-1.9
GI-3,9.5,9.1,10.8,11.7,11.5,7.4,7.9,7.5,8.2,8.3,7.5,8.6
GS-4,-5.3,-5,-6,-6.5,-6.4,-4.1,-4.4,-4.2,-4.6,-4.6,-4.2,-4.8
GI-4,8.4,8.1,9.6,10.4,10.2,6.6,7,6.7,7.3,7.4,6.7,7.6
GS-5.1,-5.3,-5,-6,-6.5,-6.4,-4.1,-4.4,-4.2,-4.6,-4.6,-4.2,-4.8
GI-5.1,1.6,1.5,1.8,1.9,1.9,1.2,1.3,1.3,1.4,1.4,1.3,1.4
GS-5.2,-5.3,-5,-6,-6.5,-6.4,-4.1,-4.4,-4.2,-4.6,-4.6,-4.2,-4.8
GI-5.2,4.7,4.5,5.4,5.8,5.7,3.7,4,3.8,4.1,4.2,3.8,4.3
GS-6,-10.5,-10.1,-12,-13,-12.8,-8.3,-8.8,-8.4,-9.1,-9.2,-8.4,-9.5
GI-6,3.2,3,3.6,3.9,3.8,2.5,2.6,2.5,2.7,2.8,2.5,2.9
GS-7,-6.3,-6,-7.2,-7.8,-7.7,-5,-5.3,-5,-5.5,-5.5,-5,-5.7
GI-7,9.5,9.1,10.8,11.7,11.5,7.4,7.9,7.5,8.2,8.3,7.5,8.6
GS-8,-6.8,-6.6,-7.8,-8.4,-8.3,-5.4,-5.7,-5.4,-5.9,-6,-5.4,-6.2
GI-8,9.5,9.1,10.8,11.7,11.5,7.4,7.9,7.5,8.2,8.3,7.5,8.6
GS-9,-5.8,-5.5,-6.6,-7.1,-7,-4.5,-4.8,-4.6,-5,-5.1,-4.6,-5.2
GI-9,8.9,8.6,10.2,11,10.8,7,7.5,7.1,7.7,7.8,7.1,8.1
