Target,ID
20/47.5,1
22.5/47.5,2
25/47.5,3
27.5/47.5,4
30/47.5,5
32.5/47.5,6
35/47.5,7
37.5/47.5,8
40/47.5,9
42.5/47.5,10
45/47.5,11
47.5/47.5,12
50/47.5,13
52.5/47.5,14
55/47.5,15
57.5/47.5,16
60/47.5,17
20/50,18
22.5/50,19
25/50,20
27.5/50,21
30/50,22
32.5/50,23
35/50,24
37.5/50,25
40/50,26
42.5/50,27
45/50,28
47.5/50,29
50/50,30
52.5/50,31
55/50,32
57.5/50,33
60/50,34
20/52.5,35
22.5/52.5,36
25/52.5,37
27.5/52.5,38
30/52.5,39
32.5/52.5,40
35/52.5,41
37.5/52.5,42
40/52.5,43
42.5/52.5,44
45/52.5,45
47.5/52.5,46
50/52.5,47
52.5/52.5,48
55/52.5,49
57.5/52.5,50
60/52.5,51
20/55,52
22.5/55,53
25/55,54
27.5/55,55
30/55,56
32.5/55,57
35/55,58
37.5/55,59
40/55,60
42.5/55,61
45/55,62
47.5/55,63
50/55,64
52.5/55,65
55/55,66
57.5/55,67
60/55,68
20/57.5,69
22.5/57.5,70
25/57.5,71
27.5/57.5,72
30/57.5,73
32.5/57.5,74
35/57.5,75
37.5/57.5,76
40/57.5,77
42.5/57.5,78
45/57.5,79
47.5/57.5,80
50/57.5,81
52.5/57.5,82
55/57.5,83
57.5/57.5,84
60/57.5,85
20/60,86
22.5/60,87
25/60,88
27.5/60,89
30/60,90
32.5/60,91
35/60,92
37.5/60,93
40/60,94
42.5/60,95
45/60,96
47.5/60,97
50/60,98
52.5/60,99
55/60,100
57.5/60,101
60/60,102
20/62.5,103
22.5/62.5,104
25/62.5,105
27.5/62.5,106
30/62.5,107
32.5/62.5,108
35/62.5,109
37.5/62.5,110
40/62.5,111
42.5/62.5,112
45/62.5,113
47.5/62.5,114
50/62.5,115
52.5/62.5,116
55/62.5,117
57.5/62.5,118
60/62.5,119
20/65,120
22.5/65,121
25/65,122
27.5/65,123
30/65,124
32.5/65,125
35/65,126
37.5/65,127
40/65,128
42.5/65,129
45/65,130
47.5/65,131
50/65,132
52.5/65,133
55/65,134
57.5/65,135
60/65,136
