Target ,ID,,Long,Lat
-10/35,1,,-10,35
-9.5/35,2,,-9.5,35
-9/35,3,,-9,35
-8.5/35,4,,-8.5,35
-8/35,5,,-8,35
-7.5/35,6,,-7.5,35
-7/35,7,,-7,35
-6.5/35,8,,-6.5,35
-6/35,9,,-6,35
-5.5/35,10,,-5.5,35
-5/35,11,,-5,35
-4.5/35,12,,-4.5,35
-4/35,13,,-4,35
-3.5/35,14,,-3.5,35
-3/35,15,,-3,35
-2.5/35,16,,-2.5,35
-2/35,17,,-2,35
-1.5/35,18,,-1.5,35
-1/35,19,,-1,35
-0.5/35,20,,-0.5,35
0/35,21,,0,35
0.5/35,22,,0.5,35
1/35,23,,1,35
1.5/35,24,,1.5,35
2/35,25,,2,35
2.5/35,26,,2.5,35
3/35,27,,3,35
3.5/35,28,,3.5,35
4/35,29,,4,35
4.5/35,30,,4.5,35
5/35,31,,5,35
5.5/35,32,,5.5,35
6/35,33,,6,35
6.5/35,34,,6.5,35
7/35,35,,7,35
7.5/35,36,,7.5,35
8/35,37,,8,35
8.5/35,38,,8.5,35
9/35,39,,9,35
9.5/35,40,,9.5,35
10/35,41,,10,35
10.5/35,42,,10.5,35
11/35,43,,11,35
11.5/35,44,,11.5,35
12/35,45,,12,35
12.5/35,46,,12.5,35
13/35,47,,13,35
13.5/35,48,,13.5,35
14/35,49,,14,35
14.5/35,50,,14.5,35
15/35,51,,15,35
15.5/35,52,,15.5,35
16/35,53,,16,35
16.5/35,54,,16.5,35
17/35,55,,17,35
17.5/35,56,,17.5,35
18/35,57,,18,35
18.5/35,58,,18.5,35
19/35,59,,19,35
19.5/35,60,,19.5,35
20/35,61,,20,35
20.5/35,62,,20.5,35
21/35,63,,21,35
21.5/35,64,,21.5,35
22/35,65,,22,35
22.5/35,66,,22.5,35
23/35,67,,23,35
23.5/35,68,,23.5,35
24/35,69,,24,35
24.5/35,70,,24.5,35
25/35,71,,25,35
25.5/35,72,,25.5,35
26/35,73,,26,35
26.5/35,74,,26.5,35
27/35,75,,27,35
27.5/35,76,,27.5,35
28/35,77,,28,35
28.5/35,78,,28.5,35
29/35,79,,29,35
29.5/35,80,,29.5,35
30/35,81,,30,35
