ID;Fundplatz;Level;Lat;Long;Temp_Group;Gemeinde;Bundesland;Land;Coord_Precision;Class;Kind_of_Site_1Abri_2OAir
417;Chulek I;;47.21230;39.59700;0;Rostow;Oblast Rostow;Russia;2;1;0
374;Corpaci-Mâs;;48.10000;28.05000;0;Edinet;Rajon Edinet;Moldova;3;1;0
403;Groapa Lupului (Gaura Lupului);;46.03121;22.89109;0;Băiţa;Hunedoara;Romania;2;1;2
418;Gubski I;;44.31530;40.63060;0;Gubskaya;Krasnodar;Russia;2;1;0
419;Kamennomostskaya;;44.29610;40.18810;0;Kamennomostski;Krasnodar;Russia;2;1;0
375;Ripiceni Izvor;;47.95000;27.13333;0;Ripiceni;Botosani;Moldova;3;1;2
422;Shyrokiy Mys;;44.19150;38.90330;0;Olginka;Krasnodar;Russia;2;1;0
413;Românesti Dumbravita;;45.81500;22.30200;1;Românesti;Timiș Region;Romania;2;1;2
415;Tincova;;45.55780;22.15460;1;Tincova;Caraș-Severin County;Romania;1;1;2
481;Beregovo I;;48.09850;22.82970;2;Wylok;Zakarpats'ka oblast;Ukraine;3;1;2
392;Boinesti;;47.91570;23.35120;2;Boinesti;Satu Mare;Romania;2;1;2
393;Bordul Mare (Ohaba-Ponor);;45.51260;23.15140;2;Ohaba Ponor;Hunedoara;Romania;1;1;1
482;Buran Kaya III;;44.94870;34.71770;2;Belogorsk;Crimea;Ukraine;3;1;1
394;Busag;;47.65870;23.42780;2;Busag;Maramureș;Romania;2;1;2
395;Calinesti I;;47.91160;23.28550;2;Călinești-Oaș;Satu Mare;Romania;2;1;2
396;Ceahlau Dârtu (Dârţu);;47.04080;26.00070;2;Pârâul Mare;Neamt County;Romania;3;1;2
397;Ceahlau Podis;;47.03690;26.01580;2;Ceahlau;Neamt County;Romania;2;2;2
398;Ceahlau-Cetatica I;;46.91080;26.09120;2;Bicaz;Neamt County;Romania;2;2;2
399;Cioclovina;;45.58550;23.14360;2;Cioclovina;Eisenmarkt;Romania;2;1;1
400;Ciuperceni;;43.75620;24.93030;2;Ciuperceni;Teleorman;Romania;2;2;2
401;Coşava (level I, II);;45.85260;22.31380;2;Cosava;Timis;Romania;2;1;2
402;Dealul Hotărel (Conop);;46.09890;21.89160;2;Conop;Arad;Romania;1;2;2
377;Gora Pulawska II;;51.41020;21.93340;2;Gora Pulawska;Lublin Voivodeship;Poland;2;1;2
404;Gura Cheii de Rasnov (Gura Cheii-Râşnov);;45.58640;25.51420;2;Brașov;Brașov;Romania;1;1;1
405;Ileanda-Perii Vadului;;47.35330;23.56660;2;Perii Vadului;Sălaj;Romania;2;2;1
378;Jaksice;;50.15800;20.54300;2;Jaksice;Lesser Poland;Poland;2;2;2
420;Kostenki 14 (Markina gora);;51.39030;39.03470;2;Kostyonki;Oblast Woronesch;Russia;;1;2
379;Krakow Sowiniec;;50.05990;19.84720;2;Sowiniec Krakow;Lesser Poland;Poland;2;2;2
380;Krakow Spadzista;;50.05640;19.90590;2;Krakow;Lesser Poland;Poland;1;1;2
381;Krakow Wawel;;50.05420;19.93530;2;Wawel Krakow;Lesser Poland;Poland;2;2;2
