"","ID","DOY","Date","Month","Period","Lat","Long","Temp","Temp_mean","Veg","Veg.21Day"
"1",1,1,"01/Jan",1,"GI-5.1",47.5,20,-13.1,-13.82,0,0
"2",2,2,"02/Jan",1,"GI-5.1",47.5,20,-14.54,-13.97,0,0
"3",3,3,"03/Jan",1,"GI-5.1",47.5,20,-14.26,-14.26,0,0
"4",4,4,"04/Jan",1,"GI-5.1",47.5,20,-13.97,-13.49,0,0
"5",5,5,"05/Jan",1,"GI-5.1",47.5,20,-12.23,-12.4,0,0
"6",6,6,"06/Jan",1,"GI-5.1",47.5,20,-11,-12.63,0,0
"7",7,7,"07/Jan",1,"GI-5.1",47.5,20,-14.65,-12.99,0,0
"8",8,8,"08/Jan",1,"GI-5.1",47.5,20,-13.31,-13.72,0,0
"9",9,9,"09/Jan",1,"GI-5.1",47.5,20,-13.19,-13.64,0,0
"10",10,10,"10/Jan",1,"GI-5.1",47.5,20,-14.41,-13.92,0,0
"11",11,11,"11/Jan",1,"GI-5.1",47.5,20,-14.17,-13.37,0,0
"12",12,12,"12/Jan",1,"GI-5.1",47.5,20,-11.53,-12.68,0,0
"13",13,13,"13/Jan",1,"GI-5.1",47.5,20,-12.33,-12.87,0,0
"14",14,14,"14/Jan",1,"GI-5.1",47.5,20,-14.75,-13.39,0,0
"15",15,15,"15/Jan",1,"GI-5.1",47.5,20,-13.09,-13.58,0,0
"16",16,16,"16/Jan",1,"GI-5.1",47.5,20,-12.91,-13.78,0,0
"17",17,17,"17/Jan",1,"GI-5.1",47.5,20,-15.35,-14.56,0,0
"18",18,18,"18/Jan",1,"GI-5.1",47.5,20,-15.42,-14.63,0,0
"19",19,19,"19/Jan",1,"GI-5.1",47.5,20,-13.11,-13.04,0,0
"20",20,20,"20/Jan",1,"GI-5.1",47.5,20,-10.6,-10.37,0,0
"21",21,21,"21/Jan",1,"GI-5.1",47.5,20,-7.4,-8.6,0,0
"22",22,22,"22/Jan",1,"GI-5.1",47.5,20,-7.8,-7.97,0,0
"23",23,23,"23/Jan",1,"GI-5.1",47.5,20,-8.71,-8.82,0,0
"24",24,24,"24/Jan",1,"GI-5.1",47.5,20,-9.96,-9.46,0,0
"25",25,25,"25/Jan",1,"GI-5.1",47.5,20,-9.7,-10.12,0,0
"26",26,26,"26/Jan",1,"GI-5.1",47.5,20,-10.71,-10.71,0,0
"27",27,27,"27/Jan",1,"GI-5.1",47.5,20,-11.72,-11.31,0,0
"28",28,28,"28/Jan",1,"GI-5.1",47.5,20,-11.5,-11.4,0,0
"29",29,29,"29/Jan",1,"GI-5.1",47.5,20,-10.99,-10.44,0,0
"30",30,30,"30/Jan",1,"GI-5.1",47.5,20,-8.82,-9.48,0,0
"31",31,31,"31/Jan",1,"GI-5.1",47.5,20,-8.62,-8.96,0,0
"32",32,32,"01/Feb",2,"GI-5.1",47.5,20,-9.54,-9.16,0,0
"33",33,33,"02/Feb",2,"GI-5.1",47.5,20,-9.22,-9.14,0,0
"34",34,34,"03/Feb",2,"GI-5.1",47.5,20,-8.66,-9.25,0,0
"35",35,35,"04/Feb",2,"GI-5.1",47.5,20,-9.86,-9.44,0,0
"36",36,36,"05/Feb",2,"GI-5.1",47.5,20,-9.81,-10.06,0,0
"37",37,37,"06/Feb",2,"GI-5.1",47.5,20,-10.52,-10.72,0,0
"38",38,38,"07/Feb",2,"GI-5.1",47.5,20,-11.82,-11.96,0,0
"39",39,39,"08/Feb",2,"GI-5.1",47.5,20,-13.55,-12.8,0,0
"40",40,40,"09/Feb",2,"GI-5.1",47.5,20,-13.04,-12.19,0,0
"41",41,41,"10/Feb",2,"GI-5.1",47.5,20,-9.99,-11.46,0,0
"42",42,42,"11/Feb",2,"GI-5.1",47.5,20,-11.36,-11.55,0,0
"43",43,43,"12/Feb",2,"GI-5.1",47.5,20,-13.3,-12.42,0,0
"44",44,44,"13/Feb",2,"GI-5.1",47.5,20,-12.59,-12.65,0,0
"45",45,45,"14/Feb",2,"GI-5.1",47.5,20,-12.06,-11.56,0,0
"46",46,46,"15/Feb",2,"GI-5.1",47.5,20,-10.02,-10.77,0,0
"47",47,47,"16/Feb",2,"GI-5.1",47.5,20,-10.23,-10.37,0,0
"48",48,48,"17/Feb",2,"GI-5.1",47.5,20,-10.86,-10.29,0,0
"49",49,49,"18/Feb",2,"GI-5.1",47.5,20,-9.79,-10.08,0,0
"50",50,50,"19/Feb",2,"GI-5.1",47.5,20,-9.6,-10.06,0,0
"51",51,51,"20/Feb",2,"GI-5.1",47.5,20,-10.78,-10.93,0,0
"52",52,52,"21/Feb",2,"GI-5.1",47.5,20,-12.41,-12.6,0,0
"53",53,53,"22/Feb",2,"GI-5.1",47.5,20,-14.6,-13.22,0,0
"54",54,54,"23/Feb",2,"GI-5.1",47.5,20,-12.65,-12.39,0,0
"55",55,55,"24/Feb",2,"GI-5.1",47.5,20,-9.92,-10.19,0,0
"56",56,56,"25/Feb",2,"GI-5.1",47.5,20,-8.01,-8.6,0,0
"57",57,57,"26/Feb",2,"GI-5.1",47.5,20,-7.87,-8.44,0,0
"58",58,58,"27/Feb",2,"GI-5.1",47.5,20,-9.45,-9.35,0,0
"59",59,59,"28/Feb",2,"GI-5.1",47.5,20,-10.73,-9.99,0,0
"60",60,60,"01/Mar",3,"GI-5.1",47.5,20,-9.48,-9.82,0,0
"61",61,61,"02/Mar",3,"GI-5.1",47.5,20,-9.56,-9.55,0,0
"62",62,62,"03/Mar",3,"GI-5.1",47.5,20,-9.6,-8.96,0,0
"63",63,63,"04/Mar",3,"GI-5.1",47.5,20,-7.73,-8.19,0,0
"64",64,64,"05/Mar",3,"GI-5.1",47.5,20,-7.23,-7.12,0,0
"65",65,65,"06/Mar",3,"GI-5.1",47.5,20,-6.39,-7.01,0,0
"66",66,66,"07/Mar",3,"GI-5.1",47.5,20,-7.4,-7.17,0,0
"67",67,67,"08/Mar",3,"GI-5.1",47.5,20,-7.72,-7.52,0,0
"68",68,68,"09/Mar",3,"GI-5.1",47.5,20,-7.44,-7.29,0,0
"69",69,69,"10/Mar",3,"GI-5.1",47.5,20,-6.7,-7.53,0,0
"70",70,70,"11/Mar",3,"GI-5.1",47.5,20,-8.45,-7.65,0,0
"71",71,71,"12/Mar",3,"GI-5.1",47.5,20,-7.8,-8.2,0,0
"72",72,72,"13/Mar",3,"GI-5.1",47.5,20,-8.35,-8.63,0,0
"73",73,73,"14/Mar",3,"GI-5.1",47.5,20,-9.74,-8.88,0,0
"74",74,74,"15/Mar",3,"GI-5.1",47.5,20,-8.54,-8.7,0,0
"75",75,75,"16/Mar",3,"GI-5.1",47.5,20,-7.82,-7.88,0,0
"76",76,76,"17/Mar",3,"GI-5.1",47.5,20,-7.29,-7.53,0,0
"77",77,77,"18/Mar",3,"GI-5.1",47.5,20,-7.49,-7.4,0,0
"78",78,78,"19/Mar",3,"GI-5.1",47.5,20,-7.41,-7.17,0,0
"79",79,79,"20/Mar",3,"GI-5.1",47.5,20,-6.61,-7.3,0,0
"80",80,80,"21/Mar",3,"GI-5.1",47.5,20,-7.87,-7.7,0,0
"81",81,81,"22/Mar",3,"GI-5.1",47.5,20,-8.63,-8.02,0,0
"82",82,82,"23/Mar",3,"GI-5.1",47.5,20,-7.55,-8.03,0,0
"83",83,83,"24/Mar",3,"GI-5.1",47.5,20,-7.92,-8.29,0,0
"84",84,84,"25/Mar",3,"GI-5.1",47.5,20,-9.39,-8.89,0,0
"85",85,85,"26/Mar",3,"GI-5.1",47.5,20,-9.36,-8.67,0,0
"86",86,86,"27/Mar",3,"GI-5.1",47.5,20,-7.27,-7.67,0,0
"87",87,87,"28/Mar",3,"GI-5.1",47.5,20,-6.38,-6.45,0,0
