"X1","X2","X3","X4","X5","X6","X7","X8"
"20.0","47.5","20.0","50.0","23.0"," 2.0"," 1.0","18.0"
"20.0","47.5","20.0","50.0","23.0"," 7.0"," 1.0","18.0"
"20.0","47.5","20.0","50.0","23.0","14.0"," 1.0","18.0"
"20.0","47.5","20.0","50.0","23.0","21.0"," 1.0","18.0"
"20.0","47.5","22.5","50.0","21.0"," 2.0"," 1.0","19.0"
"20.0","47.5","22.5","50.0","21.0"," 7.0"," 1.0","19.0"
"20.0","47.5","22.5","50.0","21.0","14.0"," 1.0","19.0"
"20.0","47.5","22.5","50.0","21.0","21.0"," 1.0","19.0"
"20.0","50.0","22.5","52.5","32.0"," 2.0","18.0","36.0"
"20.0","50.0","22.5","52.5","32.0"," 7.0","18.0","36.0"
"20.0","50.0","22.5","52.5","32.0","14.0","18.0","36.0"
"20.0","50.0","22.5","52.5","32.0","21.0","18.0","36.0"
"20.0","50.0","22.5","52.5","32.0","28.0","18.0","36.0"
"20.0","50.0","22.5","52.5","32.0","28.0","18.0","36.0"
"22.5","47.5","20.0","47.5"," 7.0"," 2.0"," 2.0"," 1.0"
"22.5","47.5","20.0","47.5"," 7.0"," 7.0"," 2.0"," 1.0"
"22.5","47.5","20.0","50.0","30.0"," 2.0"," 2.0","18.0"
"22.5","47.5","20.0","50.0","30.0"," 7.0"," 2.0","18.0"
"22.5","47.5","20.0","50.0","30.0","14.0"," 2.0","18.0"
"22.5","47.5","20.0","50.0","30.0","21.0"," 2.0","18.0"
"22.5","47.5","20.0","50.0","30.0","28.0"," 2.0","18.0"
"22.5","47.5","22.5","50.0","28.0"," 2.0"," 2.0","19.0"
"22.5","47.5","22.5","50.0","28.0"," 7.0"," 2.0","19.0"
"22.5","47.5","22.5","50.0","28.0","14.0"," 2.0","19.0"
"22.5","47.5","22.5","50.0","28.0","21.0"," 2.0","19.0"
"22.5","47.5","22.5","50.0","28.0","28.0"," 2.0","19.0"
"22.5","47.5","25.0","47.5","36.0"," 2.0"," 2.0"," 3.0"
"22.5","47.5","25.0","47.5","36.0"," 7.0"," 2.0"," 3.0"
"22.5","47.5","25.0","47.5","36.0","14.0"," 2.0"," 3.0"
"22.5","47.5","25.0","47.5","36.0","21.0"," 2.0"," 3.0"
"22.5","47.5","25.0","47.5","36.0","28.0"," 2.0"," 3.0"
"22.5","47.5","25.0","50.0","30.0"," 2.0"," 2.0","20.0"
"22.5","47.5","25.0","50.0","30.0"," 7.0"," 2.0","20.0"
"22.5","47.5","25.0","50.0","30.0","14.0"," 2.0","20.0"
"22.5","47.5","25.0","50.0","30.0","21.0"," 2.0","20.0"
"22.5","47.5","25.0","50.0","30.0","28.0"," 2.0","20.0"
"22.5","50.0","20.0","50.0"," 2.0"," 2.0","19.0","18.0"
"22.5","50.0","22.5","52.5","34.0"," 2.0","19.0","36.0"
"22.5","50.0","22.5","52.5","34.0"," 7.0","19.0","36.0"
"22.5","50.0","22.5","52.5","34.0","14.0","19.0","36.0"
"22.5","50.0","22.5","52.5","34.0","21.0","19.0","36.0"
"22.5","50.0","22.5","52.5","34.0","28.0","19.0","36.0"
"22.5","50.0","25.0","50.0"," 2.0"," 2.0","19.0","20.0"
"22.5","50.0","25.0","52.5","23.0"," 2.0","19.0","37.0"
"22.5","50.0","25.0","52.5","23.0"," 7.0","19.0","37.0"
"22.5","50.0","25.0","52.5","23.0","14.0","19.0","37.0"
"22.5","50.0","25.0","52.5","23.0","21.0","19.0","37.0"
