"X1","X2","X3","X4","X5","X6","X7","X8"
"20.0","50.0","20.0","47.5"," 9.0"," 2.0","18.0"," 1.0"
"20.0","50.0","20.0","47.5"," 9.0"," 7.0","18.0"," 1.0"
"20.0","50.0","22.5","47.5"," 9.0"," 2.0","18.0"," 2.0"
"20.0","50.0","22.5","47.5"," 9.0"," 7.0","18.0"," 2.0"
"20.0","52.5","20.0","50.0","40.0"," 2.0","35.0","18.0"
"20.0","52.5","20.0","50.0","40.0"," 7.0","35.0","18.0"
"20.0","52.5","20.0","50.0","40.0","14.0","35.0","18.0"
"20.0","52.5","20.0","50.0","40.0","21.0","35.0","18.0"
"20.0","52.5","20.0","50.0","40.0","28.0","35.0","18.0"
"20.0","52.5","22.5","50.0","40.0"," 2.0","35.0","19.0"
"20.0","52.5","22.5","50.0","40.0"," 7.0","35.0","19.0"
"20.0","52.5","22.5","50.0","40.0","14.0","35.0","19.0"
"20.0","52.5","22.5","50.0","40.0","21.0","35.0","19.0"
"20.0","52.5","22.5","50.0","40.0","28.0","35.0","19.0"
"20.0","52.5","22.5","52.5","22.0"," 2.0","35.0","36.0"
"20.0","52.5","22.5","52.5","22.0"," 7.0","35.0","36.0"
"20.0","52.5","22.5","52.5","22.0","14.0","35.0","36.0"
"20.0","52.5","22.5","52.5","22.0","21.0","35.0","36.0"
"20.0","52.5","22.5","52.5","22.0","21.0","35.0","36.0"
"22.5","50.0","20.0","47.5"," 9.0"," 2.0","19.0"," 1.0"
"22.5","50.0","20.0","47.5"," 9.0"," 7.0","19.0"," 1.0"
"22.5","50.0","22.5","47.5"," 9.0"," 2.0","19.0"," 2.0"
"22.5","50.0","22.5","47.5"," 9.0"," 7.0","19.0"," 2.0"
"22.5","52.5","20.0","50.0","18.0"," 2.0","36.0","18.0"
"22.5","52.5","20.0","50.0","18.0"," 7.0","36.0","18.0"
"22.5","52.5","20.0","50.0","18.0","14.0","36.0","18.0"
"22.5","52.5","22.5","50.0","18.0"," 2.0","36.0","19.0"
"22.5","52.5","22.5","50.0","18.0"," 7.0","36.0","19.0"
"22.5","52.5","22.5","50.0","18.0","14.0","36.0","19.0"
"22.5","52.5","25.0","50.0","17.0"," 2.0","36.0","20.0"
"22.5","52.5","25.0","50.0","17.0"," 7.0","36.0","20.0"
"22.5","52.5","25.0","50.0","17.0","14.0","36.0","20.0"
"22.5","52.5","25.0","52.5"," 2.0"," 2.0","36.0","37.0"
"22.5","52.5","25.0","52.5"," 2.0"," 2.0","36.0","37.0"
