"X1","X2","X3","X4","X5","X6","X7","X8"
"20.0","47.5","20.0","50.0","11.0"," 2.0"," 1.0","18.0"
"20.0","47.5","20.0","50.0","11.0"," 7.0"," 1.0","18.0"
"20.0","47.5","22.5","50.0","11.0"," 2.0"," 1.0","19.0"
"20.0","47.5","22.5","50.0","11.0"," 7.0"," 1.0","19.0"
"20.0","47.5","22.5","50.0","11.0"," 7.0"," 1.0","19.0"
"22.5","47.5","20.0","50.0","11.0"," 2.0"," 2.0","18.0"
"22.5","47.5","20.0","50.0","11.0"," 7.0"," 2.0","18.0"
"22.5","47.5","22.5","50.0","11.0"," 2.0"," 2.0","19.0"
"22.5","47.5","22.5","50.0","11.0"," 7.0"," 2.0","19.0"
"22.5","47.5","25.0","50.0","12.0"," 2.0"," 2.0","20.0"
"22.5","47.5","25.0","50.0","12.0"," 7.0"," 2.0","20.0"
"22.5","47.5","25.0","50.0","12.0"," 7.0"," 2.0","20.0"
"25.0","50.0","27.5","50.0"," 3.0"," 2.0","20.0","21.0"
"25.0","50.0","27.5","52.5","21.0"," 2.0","20.0","38.0"
"25.0","50.0","27.5","52.5","21.0"," 7.0","20.0","38.0"
"25.0","50.0","27.5","52.5","21.0","14.0","20.0","38.0"
"25.0","50.0","27.5","52.5","21.0","21.0","20.0","38.0"
"25.0","50.0","27.5","52.5","21.0","21.0","20.0","38.0"
"27.5","47.5","25.0","50.0"," 8.0"," 2.0"," 4.0","20.0"
"27.5","47.5","25.0","50.0"," 8.0"," 7.0"," 4.0","20.0"
"27.5","47.5","27.5","50.0","11.0"," 2.0"," 4.0","21.0"
"27.5","47.5","27.5","50.0","11.0"," 7.0"," 4.0","21.0"
"27.5","47.5","30.0","50.0"," 8.0"," 2.0"," 4.0","22.0"
"27.5","47.5","30.0","50.0"," 8.0"," 7.0"," 4.0","22.0"
"27.5","50.0","27.5","52.5","18.0"," 2.0","21.0","38.0"
"27.5","50.0","27.5","52.5","18.0"," 7.0","21.0","38.0"
"27.5","50.0","27.5","52.5","18.0","14.0","21.0","38.0"
"27.5","50.0","30.0","52.5","11.0"," 2.0","21.0","39.0"
"27.5","50.0","30.0","52.5","11.0"," 7.0","21.0","39.0"
"27.5","50.0","30.0","52.5","11.0"," 7.0","21.0","39.0"
"30.0","47.5","27.5","47.5"," 4.0"," 2.0"," 5.0"," 4.0"
"30.0","47.5","27.5","50.0","15.0"," 2.0"," 5.0","21.0"
"30.0","47.5","27.5","50.0","15.0"," 7.0"," 5.0","21.0"
"30.0","47.5","27.5","50.0","15.0","14.0"," 5.0","21.0"
"30.0","47.5","30.0","50.0","12.0"," 2.0"," 5.0","22.0"
"30.0","47.5","30.0","50.0","12.0"," 7.0"," 5.0","22.0"
"30.0","47.5","32.5","50.0"," 6.0"," 2.0"," 5.0","23.0"
"30.0","50.0","27.5","50.0"," 3.0"," 2.0","22.0","21.0"
"30.0","50.0","27.5","52.5","21.0"," 2.0","22.0","38.0"
"30.0","50.0","27.5","52.5","21.0"," 7.0","22.0","38.0"
"30.0","50.0","27.5","52.5","21.0","14.0","22.0","38.0"
"30.0","50.0","27.5","52.5","21.0","21.0","22.0","38.0"
"30.0","50.0","30.0","52.5","14.0"," 2.0","22.0","39.0"
"30.0","50.0","30.0","52.5","14.0"," 7.0","22.0","39.0"
"30.0","50.0","30.0","52.5","14.0","14.0","22.0","39.0"
"30.0","50.0","32.5","52.5","10.0"," 2.0","22.0","40.0"
