X1,X2,X3,X4,X5,X6,X7,X8
-10,52.5,-10,55,7,2,568,649
-10,52.5,-10,55,7,7,568,649
-7.5,52.5,-10,55,13,2,573,649
-7.5,52.5,-10,55,13,7,573,649
-5,42.5,-7.5,45,9,2,254,330
-5,42.5,-7.5,45,9,7,254,330
-5,42.5,-5,45,9,2,254,335
-5,42.5,-5,45,9,7,254,335
-5,42.5,-2.5,45,9,2,254,340
-5,42.5,-2.5,45,9,7,254,340
0,42.5,-2.5,45,69,2,264,340
0,42.5,-2.5,45,69,7,264,340
0,42.5,-2.5,45,69,14,264,340
0,42.5,-2.5,45,69,21,264,340
0,42.5,-2.5,45,69,28,264,340
0,42.5,0,45,36,2,264,345
0,42.5,0,45,36,7,264,345
0,42.5,0,45,36,14,264,345
0,42.5,0,45,36,21,264,345
0,42.5,0,45,36,28,264,345
0,42.5,2.5,45,7,2,264,350
0,42.5,2.5,45,7,7,264,350
10,47.5,7.5,50,5,2,446,522
10,47.5,10,50,5,2,446,527
10,47.5,12.5,50,2,2,446,532
12.5,47.5,10,50,23,2,451,527
12.5,47.5,10,50,23,7,451,527
12.5,47.5,10,50,23,14,451,527
12.5,47.5,10,50,23,21,451,527
12.5,47.5,12.5,50,20,2,451,532
12.5,47.5,12.5,50,20,7,451,532
12.5,47.5,12.5,50,20,14,451,532
12.5,47.5,15,50,21,2,451,537
12.5,47.5,15,50,21,7,451,537
12.5,47.5,15,50,21,14,451,537
12.5,47.5,15,50,21,21,451,537
20,42.5,20,45,2,2,304,385
27.5,40,30,42.5,25,2,238,324
27.5,40,30,42.5,25,7,238,324
27.5,40,30,42.5,25,14,238,324
27.5,40,30,42.5,25,21,238,324
