X1,X2,X3,X4,X5,X6,X7,X8
-10,40,-7.5,37.5,4,2,163,87
-10,42.5,-7.5,40,10,2,244,168
-10,42.5,-7.5,40,10,7,244,168
-10,45,-7.5,42.5,15,2,325,249
-10,45,-7.5,42.5,15,7,325,249
-10,45,-7.5,42.5,15,14,325,249
-7.5,45,-7.5,42.5,15,2,330,249
-7.5,45,-7.5,42.5,15,7,330,249
-7.5,45,-7.5,42.5,15,14,330,249
-7.5,45,-5,42.5,22,2,330,254
-7.5,45,-5,42.5,22,7,330,254
-7.5,45,-5,42.5,22,14,330,254
-7.5,45,-5,42.5,22,21,330,254
-7.5,45,-5,42.5,22,21,330,254
-5,45,-7.5,42.5,20,2,335,249
-5,45,-7.5,42.5,20,7,335,249
-5,45,-7.5,42.5,20,14,335,249
-5,45,-5,42.5,27,2,335,254
-5,45,-5,42.5,27,7,335,254
-5,45,-5,42.5,27,14,335,254
-5,45,-5,42.5,27,21,335,254
-5,45,-2.5,42.5,21,2,335,259
-5,45,-2.5,42.5,21,7,335,259
-5,45,-2.5,42.5,21,14,335,259
-5,45,-2.5,42.5,21,21,335,259
-2.5,45,-5,42.5,29,2,340,254
-2.5,45,-5,42.5,29,7,340,254
-2.5,45,-5,42.5,29,14,340,254
-2.5,45,-5,42.5,29,21,340,254
-2.5,45,-5,42.5,29,28,340,254
-2.5,45,-2.5,42.5,23,2,340,259
-2.5,45,-2.5,42.5,23,7,340,259
-2.5,45,-2.5,42.5,23,14,340,259
-2.5,45,-2.5,42.5,23,21,340,259
0,37.5,-2.5,35,4,2,102,16
0,37.5,0,35,40,2,102,21
0,37.5,0,35,40,7,102,21
0,37.5,0,35,40,14,102,21
0,37.5,0,35,40,21,102,21
0,37.5,0,35,40,28,102,21
0,37.5,2.5,35,49,2,102,26
0,37.5,2.5,35,49,7,102,26
0,37.5,2.5,35,49,14,102,26
0,37.5,2.5,35,49,21,102,26
0,37.5,2.5,35,49,28,102,26
0,40,-2.5,37.5,22,2,183,97
0,40,-2.5,37.5,22,7,183,97
0,40,-2.5,37.5,22,14,183,97
0,40,-2.5,37.5,22,21,183,97
0,45,-2.5,42.5,22,2,345,259
0,45,-2.5,42.5,22,7,345,259
0,45,-2.5,42.5,22,14,345,259
0,45,-2.5,42.5,22,21,345,259
0,45,2.5,42.5,13,2,345,269
0,45,2.5,42.5,13,7,345,269
0,47.5,2.5,45,23,2,426,350
0,47.5,2.5,45,23,7,426,350
0,47.5,2.5,45,23,14,426,350
0,47.5,2.5,45,23,21,426,350
2.5,37.5,0,35,131,2,107,21
2.5,37.5,0,35,131,7,107,21
2.5,37.5,0,35,131,14,107,21
2.5,37.5,0,35,131,21,107,21
2.5,37.5,0,35,131,28,107,21
2.5,37.5,2.5,35,140,2,107,26
2.5,37.5,2.5,35,140,7,107,26
2.5,37.5,2.5,35,140,14,107,26
2.5,37.5,2.5,35,140,21,107,26
2.5,37.5,2.5,35,140,28,107,26
2.5,37.5,5,35,105,2,107,31
2.5,37.5,5,35,105,7,107,31
2.5,37.5,5,35,105,14,107,31
2.5,37.5,5,35,105,21,107,31
2.5,37.5,5,35,105,28,107,31
2.5,47.5,2.5,45,23,2,431,350
2.5,47.5,2.5,45,23,7,431,350
2.5,47.5,2.5,45,23,14,431,350
2.5,47.5,2.5,45,23,21,431,350
2.5,47.5,5,45,13,2,431,355
2.5,47.5,5,45,13,7,431,355
2.5,50,5,47.5,5,2,512,436
5,37.5,2.5,35,45,2,112,26
5,37.5,2.5,35,45,7,112,26
5,37.5,2.5,35,45,14,112,26
5,37.5,2.5,35,45,21,112,26
5,37.5,2.5,35,45,28,112,26
5,37.5,5,35,10,2,112,31
5,37.5,5,35,10,7,112,31
5,37.5,7.5,35,43,2,112,36
5,37.5,7.5,35,43,7,112,36
5,37.5,7.5,35,43,14,112,36
5,37.5,7.5,35,43,21,112,36
5,37.5,7.5,35,43,28,112,36
