X1,X2,X3,X4,X5,X6,X7,X8
-7.5,37.5,-10,40,46,2,87,163
-7.5,37.5,-10,40,46,7,87,163
-7.5,37.5,-10,40,46,14,87,163
-7.5,37.5,-10,40,46,21,87,163
-7.5,37.5,-10,40,46,28,87,163
-7.5,40,-10,42.5,23,2,168,244
-7.5,40,-10,42.5,23,7,168,244
-7.5,40,-10,42.5,23,14,168,244
-7.5,40,-10,42.5,23,21,168,244
-7.5,42.5,-10,45,42,2,249,325
-7.5,42.5,-10,45,42,7,249,325
-7.5,42.5,-10,45,42,14,249,325
-7.5,42.5,-10,45,42,21,249,325
-7.5,42.5,-10,45,42,28,249,325
-7.5,42.5,-7.5,45,41,2,249,330
-7.5,42.5,-7.5,45,41,7,249,330
-7.5,42.5,-7.5,45,41,14,249,330
-7.5,42.5,-7.5,45,41,21,249,330
-7.5,42.5,-7.5,45,41,28,249,330
-7.5,42.5,-5,45,40,2,249,335
-7.5,42.5,-5,45,40,7,249,335
-7.5,42.5,-5,45,40,14,249,335
-7.5,42.5,-5,45,40,21,249,335
-7.5,42.5,-5,45,40,28,249,335
-5,35,-7.5,37.5,2,2,11,87
-2.5,35,0,37.5,12,2,16,102
-2.5,35,0,37.5,12,7,16,102
-2.5,37.5,-5,40,6,2,97,173
-2.5,37.5,0,40,40,2,97,183
-2.5,37.5,0,40,40,7,97,183
-2.5,37.5,0,40,40,14,97,183
-2.5,37.5,0,40,40,21,97,183
-2.5,37.5,0,40,40,28,97,183
-2.5,42.5,-5,45,41,2,259,335
-2.5,42.5,-5,45,41,7,259,335
-2.5,42.5,-5,45,41,14,259,335
-2.5,42.5,-5,45,41,21,259,335
-2.5,42.5,-5,45,41,28,259,335
-2.5,42.5,-2.5,45,29,2,259,340
-2.5,42.5,-2.5,45,29,7,259,340
-2.5,42.5,-2.5,45,29,14,259,340
-2.5,42.5,-2.5,45,29,21,259,340
-2.5,42.5,-2.5,45,29,28,259,340
-2.5,42.5,0,45,11,2,259,345
-2.5,42.5,0,45,11,7,259,345
0,35,0,37.5,61,2,21,102
0,35,0,37.5,61,7,21,102
0,35,0,37.5,61,14,21,102
0,35,0,37.5,61,21,21,102
0,35,0,37.5,61,28,21,102
0,35,2.5,37.5,61,2,21,107
0,35,2.5,37.5,61,7,21,107
0,35,2.5,37.5,61,14,21,107
0,35,2.5,37.5,61,21,21,107
0,35,2.5,37.5,61,28,21,107
2.5,35,0,37.5,63,2,26,102
2.5,35,0,37.5,63,7,26,102
2.5,35,0,37.5,63,14,26,102
2.5,35,0,37.5,63,21,26,102
2.5,35,0,37.5,63,28,26,102
2.5,35,2.5,37.5,63,2,26,107
2.5,35,2.5,37.5,63,7,26,107
2.5,35,2.5,37.5,63,14,26,107
2.5,35,2.5,37.5,63,21,26,107
2.5,35,2.5,37.5,63,28,26,107
2.5,35,5,37.5,61,2,26,112
2.5,35,5,37.5,61,7,26,112
2.5,35,5,37.5,61,14,26,112
2.5,35,5,37.5,61,21,26,112
2.5,35,5,37.5,61,28,26,112
2.5,42.5,0,45,3,2,269,345
5,35,2.5,37.5,43,2,31,107
5,35,2.5,37.5,43,7,31,107
5,35,2.5,37.5,43,14,31,107
5,35,2.5,37.5,43,21,31,107
5,35,2.5,37.5,43,28,31,107
5,35,5,37.5,41,2,31,112
5,35,5,37.5,41,7,31,112
5,35,5,37.5,41,14,31,112
5,35,5,37.5,41,21,31,112
5,35,5,37.5,41,28,31,112
5,35,7.5,37.5,41,2,31,117
5,35,7.5,37.5,41,7,31,117
5,35,7.5,37.5,41,14,31,117
5,35,7.5,37.5,41,21,31,117
5,35,7.5,37.5,41,28,31,117
5,45,2.5,47.5,2,2,355,431
5,47.5,2.5,50,3,2,436,512
7.5,35,5,37.5,53,2,36,112
7.5,35,5,37.5,53,7,36,112
7.5,35,5,37.5,53,14,36,112
7.5,35,5,37.5,53,21,36,112
7.5,35,5,37.5,53,28,36,112
7.5,35,7.5,37.5,53,2,36,117
7.5,35,7.5,37.5,53,7,36,117
7.5,35,7.5,37.5,53,14,36,117
7.5,35,7.5,37.5,53,21,36,117
7.5,35,7.5,37.5,53,28,36,117
7.5,35,10,37.5,35,2,36,122
7.5,35,10,37.5,35,7,36,122
7.5,35,10,37.5,35,14,36,122
7.5,35,10,37.5,35,21,36,122
7.5,35,10,37.5,35,28,36,122
7.5,45,5,47.5,20,2,360,436
7.5,45,5,47.5,20,7,360,436
7.5,45,5,47.5,20,14,360,436
7.5,47.5,5,50,20,2,441,517
7.5,47.5,5,50,20,7,441,517
7.5,47.5,5,50,20,14,441,517
7.5,47.5,7.5,50,20,2,441,522
7.5,47.5,7.5,50,20,7,441,522
7.5,47.5,7.5,50,20,14,441,522
7.5,47.5,10,50,20,2,441,527
7.5,47.5,10,50,20,7,441,527
7.5,47.5,10,50,20,14,441,527
10,35,7.5,37.5,21,2,41,117
10,35,7.5,37.5,21,7,41,117
10,35,7.5,37.5,21,14,41,117
10,35,7.5,37.5,21,21,41,117
10,35,10,37.5,3,2,41,122
10,35,12.5,37.5,17,2,41,127
10,35,12.5,37.5,17,7,41,127
10,35,12.5,37.5,17,14,41,127
12.5,35,12.5,37.5,3,2,46,127
12.5,42.5,12.5,45,4,2,289,370
12.5,50,10,52.5,15,2,532,608
12.5,50,10,52.5,15,7,532,608
12.5,50,10,52.5,15,14,532,608
15,37.5,12.5,40,20,2,132,208
15,37.5,12.5,40,20,7,132,208
15,37.5,12.5,40,20,14,132,208
15,47.5,15,50,13,2,456,537
15,47.5,15,50,13,7,456,537
15,47.5,17.5,50,5,2,456,542
20,40,17.5,42.5,11,2,223,299
20,40,17.5,42.5,11,7,223,299
20,42.5,17.5,45,27,2,304,380
20,42.5,17.5,45,27,7,304,380
20,42.5,17.5,45,27,14,304,380
20,42.5,17.5,45,27,21,304,380
20,42.5,20,45,28,2,304,385
20,42.5,20,45,28,7,304,385
20,42.5,20,45,28,14,304,385
20,42.5,20,45,28,21,304,385
20,42.5,20,45,28,28,304,385
20,42.5,22.5,45,23,2,304,390
20,42.5,22.5,45,23,7,304,390
20,42.5,22.5,45,23,14,304,390
20,42.5,22.5,45,23,21,304,390
22.5,37.5,22.5,40,10,2,147,228
22.5,37.5,22.5,40,10,7,147,228
22.5,37.5,25,40,23,2,147,233
22.5,37.5,25,40,23,7,147,233
22.5,37.5,25,40,23,14,147,233
22.5,37.5,25,40,23,21,147,233
22.5,42.5,20,45,8,2,309,385
22.5,42.5,20,45,8,7,309,385
22.5,42.5,22.5,45,3,2,309,390
25,42.5,27.5,45,7,2,314,400
25,42.5,27.5,45,7,7,314,400
25,45,22.5,47.5,4,2,395,471
27.5,37.5,25,40,2,2,157,233
27.5,40,30,42.5,3,2,238,324
30,37.5,27.5,40,25,2,162,238
30,37.5,27.5,40,25,7,162,238
30,37.5,27.5,40,25,14,162,238
30,37.5,27.5,40,25,21,162,238
30,40,27.5,42.5,23,2,243,319
30,40,27.5,42.5,23,7,243,319
30,40,27.5,42.5,23,14,243,319
30,40,27.5,42.5,23,21,243,319
30,40,30,42.5,35,2,243,324
30,40,30,42.5,35,7,243,324
30,40,30,42.5,35,14,243,324
30,40,30,42.5,35,21,243,324
30,40,30,42.5,35,28,243,324
