"X1","X2","X3","X4","X5","X6","X7","X8"
"-10.0"," 50.0","-10.0"," 47.5"," 12.0","  2.0","487.0","406.0"
"-10.0"," 50.0","-10.0"," 47.5"," 12.0","  7.0","487.0","406.0"
"-10.0"," 50.0"," -7.5"," 47.5"," 12.0","  2.0","487.0","411.0"
"-10.0"," 50.0"," -7.5"," 47.5"," 12.0","  7.0","487.0","411.0"
"-10.0"," 52.5","-10.0"," 50.0"," 77.0","  2.0","568.0","487.0"
"-10.0"," 52.5","-10.0"," 50.0"," 77.0","  7.0","568.0","487.0"
"-10.0"," 52.5","-10.0"," 50.0"," 77.0"," 14.0","568.0","487.0"
"-10.0"," 52.5","-10.0"," 50.0"," 77.0"," 21.0","568.0","487.0"
"-10.0"," 52.5","-10.0"," 50.0"," 77.0"," 28.0","568.0","487.0"
"-10.0"," 52.5","-10.0"," 55.0"," 15.0","  2.0","568.0","649.0"
"-10.0"," 52.5","-10.0"," 55.0"," 15.0","  7.0","568.0","649.0"
"-10.0"," 52.5","-10.0"," 55.0"," 15.0"," 14.0","568.0","649.0"
"-10.0"," 52.5"," -7.5"," 50.0"," 76.0","  2.0","568.0","492.0"
"-10.0"," 52.5"," -7.5"," 50.0"," 76.0","  7.0","568.0","492.0"
"-10.0"," 52.5"," -7.5"," 50.0"," 76.0"," 14.0","568.0","492.0"
"-10.0"," 52.5"," -7.5"," 50.0"," 76.0"," 21.0","568.0","492.0"
"-10.0"," 52.5"," -7.5"," 50.0"," 76.0"," 28.0","568.0","492.0"
"-10.0"," 52.5"," -7.5"," 50.0"," 76.0"," 28.0","568.0","492.0"
" -7.5"," 50.0","-10.0"," 47.5"," 13.0","  2.0","492.0","406.0"
" -7.5"," 50.0","-10.0"," 47.5"," 13.0","  7.0","492.0","406.0"
" -7.5"," 50.0"," -7.5"," 47.5"," 13.0","  2.0","492.0","411.0"
" -7.5"," 50.0"," -7.5"," 47.5"," 13.0","  7.0","492.0","411.0"
" -7.5"," 50.0"," -5.0"," 47.5"," 13.0","  2.0","492.0","416.0"
" -7.5"," 50.0"," -5.0"," 47.5"," 13.0","  7.0","492.0","416.0"
" -7.5"," 52.5","-10.0"," 50.0"," 82.0","  2.0","573.0","487.0"
" -7.5"," 52.5","-10.0"," 50.0"," 82.0","  7.0","573.0","487.0"
" -7.5"," 52.5","-10.0"," 50.0"," 82.0"," 14.0","573.0","487.0"
" -7.5"," 52.5","-10.0"," 50.0"," 82.0"," 21.0","573.0","487.0"
" -7.5"," 52.5","-10.0"," 50.0"," 82.0"," 28.0","573.0","487.0"
" -7.5"," 52.5","-10.0"," 52.5","  5.0","  2.0","573.0","568.0"
" -7.5"," 52.5","-10.0"," 55.0"," 20.0","  2.0","573.0","649.0"
" -7.5"," 52.5","-10.0"," 55.0"," 20.0","  7.0","573.0","649.0"
