"X1","X2","X3","X4","X5","X6","X7","X8"
"-10.0"," 50.0","-10.0"," 52.5"," 94.0","  2.0","487.0","568.0"
"-10.0"," 50.0","-10.0"," 52.5"," 94.0","  7.0","487.0","568.0"
"-10.0"," 50.0","-10.0"," 52.5"," 94.0"," 14.0","487.0","568.0"
"-10.0"," 50.0","-10.0"," 52.5"," 94.0"," 21.0","487.0","568.0"
"-10.0"," 50.0","-10.0"," 52.5"," 94.0"," 28.0","487.0","568.0"
"-10.0"," 50.0"," -7.5"," 52.5","118.0","  2.0","487.0","573.0"
"-10.0"," 50.0"," -7.5"," 52.5","118.0","  7.0","487.0","573.0"
"-10.0"," 50.0"," -7.5"," 52.5","118.0"," 14.0","487.0","573.0"
"-10.0"," 50.0"," -7.5"," 52.5","118.0"," 21.0","487.0","573.0"
"-10.0"," 50.0"," -7.5"," 52.5","118.0"," 28.0","487.0","573.0"
"-10.0"," 52.5"," -7.5"," 52.5"," 24.0","  2.0","568.0","573.0"
"-10.0"," 52.5"," -7.5"," 52.5"," 24.0","  7.0","568.0","573.0"
"-10.0"," 52.5"," -7.5"," 52.5"," 24.0"," 14.0","568.0","573.0"
"-10.0"," 52.5"," -7.5"," 52.5"," 24.0"," 21.0","568.0","573.0"
"-10.0"," 52.5"," -7.5"," 55.0"," 26.0","  2.0","568.0","654.0"
"-10.0"," 52.5"," -7.5"," 55.0"," 26.0","  7.0","568.0","654.0"
"-10.0"," 52.5"," -7.5"," 55.0"," 26.0"," 14.0","568.0","654.0"
"-10.0"," 52.5"," -7.5"," 55.0"," 26.0"," 21.0","568.0","654.0"
"-10.0"," 55.0","-10.0"," 52.5","  2.0","  2.0","649.0","568.0"
"-10.0"," 55.0"," -7.5"," 52.5"," 26.0","  2.0","649.0","573.0"
"-10.0"," 55.0"," -7.5"," 52.5"," 26.0","  7.0","649.0","573.0"
"-10.0"," 55.0"," -7.5"," 52.5"," 26.0"," 14.0","649.0","573.0"
"-10.0"," 55.0"," -7.5"," 52.5"," 26.0"," 21.0","649.0","573.0"
"-10.0"," 55.0"," -7.5"," 55.0"," 28.0","  2.0","649.0","654.0"
"-10.0"," 55.0"," -7.5"," 55.0"," 28.0","  7.0","649.0","654.0"
"-10.0"," 55.0"," -7.5"," 55.0"," 28.0"," 14.0","649.0","654.0"
"-10.0"," 55.0"," -7.5"," 55.0"," 28.0"," 21.0","649.0","654.0"
"-10.0"," 55.0"," -7.5"," 55.0"," 28.0"," 28.0","649.0","654.0"
"-10.0"," 55.0"," -7.5"," 55.0"," 28.0"," 28.0","649.0","654.0"
" -7.5"," 47.5"," -5.0"," 50.0"," 89.0","  2.0","411.0","497.0"
" -7.5"," 47.5"," -5.0"," 50.0"," 89.0","  7.0","411.0","497.0"
" -7.5"," 47.5"," -5.0"," 50.0"," 89.0"," 14.0","411.0","497.0"
" -7.5"," 47.5"," -5.0"," 50.0"," 89.0"," 21.0","411.0","497.0"
" -7.5"," 47.5"," -5.0"," 50.0"," 89.0"," 28.0","411.0","497.0"
" -7.5"," 50.0","-10.0"," 52.5"," 95.0","  2.0","492.0","568.0"
" -7.5"," 50.0","-10.0"," 52.5"," 95.0","  7.0","492.0","568.0"
" -7.5"," 50.0","-10.0"," 52.5"," 95.0"," 14.0","492.0","568.0"
" -7.5"," 50.0","-10.0"," 52.5"," 95.0"," 21.0","492.0","568.0"
" -7.5"," 50.0","-10.0"," 52.5"," 95.0"," 28.0","492.0","568.0"
" -7.5"," 50.0"," -7.5"," 52.5","119.0","  2.0","492.0","573.0"
" -7.5"," 50.0"," -7.5"," 52.5","119.0","  7.0","492.0","573.0"
" -7.5"," 50.0"," -7.5"," 52.5","119.0"," 14.0","492.0","573.0"
" -7.5"," 50.0"," -7.5"," 52.5","119.0"," 21.0","492.0","573.0"
" -7.5"," 50.0"," -7.5"," 52.5","119.0"," 28.0","492.0","573.0"
" -7.5"," 50.0"," -5.0"," 50.0"," 89.0","  2.0","492.0","497.0"
" -7.5"," 50.0"," -5.0"," 50.0"," 89.0","  7.0","492.0","497.0"
" -7.5"," 50.0"," -5.0"," 50.0"," 89.0"," 14.0","492.0","497.0"
" -7.5"," 50.0"," -5.0"," 50.0"," 89.0"," 21.0","492.0","497.0"
" -7.5"," 50.0"," -5.0"," 50.0"," 89.0"," 28.0","492.0","497.0"
" -7.5"," 50.0"," -5.0"," 52.5","119.0","  2.0","492.0","578.0"
" -7.5"," 50.0"," -5.0"," 52.5","119.0","  7.0","492.0","578.0"
" -7.5"," 50.0"," -5.0"," 52.5","119.0"," 14.0","492.0","578.0"
" -7.5"," 50.0"," -5.0"," 52.5","119.0"," 21.0","492.0","578.0"
" -7.5"," 50.0"," -5.0"," 52.5","119.0"," 28.0","492.0","578.0"
" -7.5"," 52.5"," -7.5"," 55.0","  2.0","  2.0","573.0","654.0"
" -7.5"," 52.5"," -5.0"," 55.0","  5.0","  2.0","573.0","659.0"
" -7.5"," 55.0"," -5.0"," 55.0","  3.0","  2.0","654.0","659.0"
" -7.5"," 55.0"," -5.0"," 55.0","  3.0","  2.0","654.0","659.0"
" -5.0"," 40.0"," -2.5"," 42.5"," 14.0","  2.0","173.0","259.0"
" -5.0"," 40.0"," -2.5"," 42.5"," 14.0","  7.0","173.0","259.0"
" -5.0"," 40.0"," -2.5"," 42.5"," 14.0"," 14.0","173.0","259.0"
" -5.0"," 42.5"," -2.5"," 42.5"," 14.0","  2.0","254.0","259.0"
" -5.0"," 42.5"," -2.5"," 42.5"," 14.0","  7.0","254.0","259.0"
" -5.0"," 42.5"," -2.5"," 42.5"," 14.0"," 14.0","254.0","259.0"
" -5.0"," 45.0"," -2.5"," 42.5"," 14.0","  2.0","335.0","259.0"
" -5.0"," 45.0"," -2.5"," 42.5"," 14.0","  7.0","335.0","259.0"
" -5.0"," 45.0"," -2.5"," 42.5"," 14.0"," 14.0","335.0","259.0"
" -5.0"," 45.0"," -2.5"," 47.5"," 59.0","  2.0","335.0","421.0"
" -5.0"," 45.0"," -2.5"," 47.5"," 59.0","  7.0","335.0","421.0"
" -5.0"," 45.0"," -2.5"," 47.5"," 59.0"," 14.0","335.0","421.0"
" -5.0"," 45.0"," -2.5"," 47.5"," 59.0"," 21.0","335.0","421.0"
" -5.0"," 45.0"," -2.5"," 47.5"," 59.0"," 28.0","335.0","421.0"
" -5.0"," 47.5"," -5.0"," 50.0"," 89.0","  2.0","416.0","497.0"
" -5.0"," 47.5"," -5.0"," 50.0"," 89.0","  7.0","416.0","497.0"
" -5.0"," 47.5"," -5.0"," 50.0"," 89.0"," 14.0","416.0","497.0"
" -5.0"," 47.5"," -5.0"," 50.0"," 89.0"," 21.0","416.0","497.0"
" -5.0"," 47.5"," -5.0"," 50.0"," 89.0"," 28.0","416.0","497.0"
" -5.0"," 47.5"," -2.5"," 47.5"," 59.0","  2.0","416.0","421.0"
" -5.0"," 47.5"," -2.5"," 47.5"," 59.0","  7.0","416.0","421.0"
" -5.0"," 47.5"," -2.5"," 47.5"," 59.0"," 14.0","416.0","421.0"
" -5.0"," 47.5"," -2.5"," 47.5"," 59.0"," 21.0","416.0","421.0"
" -5.0"," 47.5"," -2.5"," 47.5"," 59.0"," 28.0","416.0","421.0"
" -5.0"," 47.5"," -2.5"," 50.0"," 90.0","  2.0","416.0","502.0"
" -5.0"," 47.5"," -2.5"," 50.0"," 90.0","  7.0","416.0","502.0"
" -5.0"," 47.5"," -2.5"," 50.0"," 90.0"," 14.0","416.0","502.0"
" -5.0"," 47.5"," -2.5"," 50.0"," 90.0"," 21.0","416.0","502.0"
" -5.0"," 47.5"," -2.5"," 50.0"," 90.0"," 28.0","416.0","502.0"
" -5.0"," 50.0"," -7.5"," 52.5"," 30.0","  2.0","497.0","573.0"
" -5.0"," 50.0"," -7.5"," 52.5"," 30.0","  7.0","497.0","573.0"
" -5.0"," 50.0"," -7.5"," 52.5"," 30.0"," 14.0","497.0","573.0"
" -5.0"," 50.0"," -7.5"," 52.5"," 30.0"," 21.0","497.0","573.0"
" -5.0"," 50.0"," -7.5"," 52.5"," 30.0"," 28.0","497.0","573.0"
" -5.0"," 50.0"," -5.0"," 52.5"," 30.0","  2.0","497.0","578.0"
" -5.0"," 50.0"," -5.0"," 52.5"," 30.0","  7.0","497.0","578.0"
" -5.0"," 50.0"," -5.0"," 52.5"," 30.0"," 14.0","497.0","578.0"
" -5.0"," 50.0"," -5.0"," 52.5"," 30.0"," 21.0","497.0","578.0"
" -5.0"," 50.0"," -5.0"," 52.5"," 30.0"," 28.0","497.0","578.0"
" -5.0"," 50.0"," -2.5"," 52.5"," 30.0","  2.0","497.0","583.0"
" -5.0"," 50.0"," -2.5"," 52.5"," 30.0","  7.0","497.0","583.0"
" -5.0"," 50.0"," -2.5"," 52.5"," 30.0"," 14.0","497.0","583.0"
" -5.0"," 50.0"," -2.5"," 52.5"," 30.0"," 21.0","497.0","583.0"
" -5.0"," 50.0"," -2.5"," 52.5"," 30.0"," 28.0","497.0","583.0"
" -5.0"," 52.5"," -7.5"," 55.0","  2.0","  2.0","578.0","654.0"
" -5.0"," 52.5"," -5.0"," 55.0","  5.0","  2.0","578.0","659.0"
" -5.0"," 52.5"," -2.5"," 55.0"," 11.0","  2.0","578.0","664.0"
" -5.0"," 52.5"," -2.5"," 55.0"," 11.0","  7.0","578.0","664.0"
" -5.0"," 55.0"," -2.5"," 55.0","  6.0","  2.0","659.0","664.0"
" -5.0"," 55.0"," -2.5"," 55.0","  6.0","  2.0","659.0","664.0"
" -2.5"," 40.0"," -2.5"," 42.5"," 14.0","  2.0","178.0","259.0"
" -2.5"," 40.0"," -2.5"," 42.5"," 14.0","  7.0","178.0","259.0"
" -2.5"," 40.0"," -2.5"," 42.5"," 14.0"," 14.0","178.0","259.0"
" -2.5"," 40.0","  0.0"," 42.5"," 87.0","  2.0","178.0","264.0"
" -2.5"," 40.0","  0.0"," 42.5"," 87.0","  7.0","178.0","264.0"
" -2.5"," 40.0","  0.0"," 42.5"," 87.0"," 14.0","178.0","264.0"
" -2.5"," 40.0","  0.0"," 42.5"," 87.0"," 21.0","178.0","264.0"
" -2.5"," 40.0","  0.0"," 42.5"," 87.0"," 28.0","178.0","264.0"
" -2.5"," 42.5","  0.0"," 42.5"," 73.0","  2.0","259.0","264.0"
" -2.5"," 42.5","  0.0"," 42.5"," 73.0","  7.0","259.0","264.0"
" -2.5"," 42.5","  0.0"," 42.5"," 73.0"," 14.0","259.0","264.0"
" -2.5"," 42.5","  0.0"," 42.5"," 73.0"," 21.0","259.0","264.0"
" -2.5"," 42.5","  0.0"," 42.5"," 73.0"," 28.0","259.0","264.0"
" -2.5"," 45.0"," -2.5"," 42.5"," 14.0","  2.0","340.0","259.0"
" -2.5"," 45.0"," -2.5"," 42.5"," 14.0","  7.0","340.0","259.0"
