"X1","X2","X3","X4","X5","X6","X7","X8"
"-10.0"," 42.5","-10.0"," 40.0"," 14.0","  2.0","244.0","163.0"
"-10.0"," 42.5","-10.0"," 40.0"," 14.0","  7.0","244.0","163.0"
"-10.0"," 42.5","-10.0"," 40.0"," 14.0"," 14.0","244.0","163.0"
"-10.0"," 45.0","-10.0"," 42.5"," 53.0","  2.0","325.0","244.0"
"-10.0"," 45.0","-10.0"," 42.5"," 53.0","  7.0","325.0","244.0"
"-10.0"," 45.0","-10.0"," 42.5"," 53.0"," 14.0","325.0","244.0"
"-10.0"," 45.0","-10.0"," 42.5"," 53.0"," 21.0","325.0","244.0"
"-10.0"," 45.0","-10.0"," 42.5"," 53.0"," 28.0","325.0","244.0"
"-10.0"," 47.5","-10.0"," 45.0"," 10.0","  2.0","406.0","325.0"
"-10.0"," 47.5","-10.0"," 45.0"," 10.0","  7.0","406.0","325.0"
"-10.0"," 47.5"," -7.5"," 45.0","  6.0","  2.0","406.0","330.0"
"-10.0"," 50.0","-10.0"," 47.5"," 19.0","  2.0","487.0","406.0"
"-10.0"," 50.0","-10.0"," 47.5"," 19.0","  7.0","487.0","406.0"
"-10.0"," 50.0","-10.0"," 47.5"," 19.0"," 14.0","487.0","406.0"
"-10.0"," 50.0"," -7.5"," 47.5"," 16.0","  2.0","487.0","411.0"
"-10.0"," 50.0"," -7.5"," 47.5"," 16.0","  7.0","487.0","411.0"
"-10.0"," 50.0"," -7.5"," 47.5"," 16.0"," 14.0","487.0","411.0"
"-10.0"," 50.0"," -7.5"," 47.5"," 16.0"," 14.0","487.0","411.0"
" -7.5"," 37.5","-10.0"," 35.0"," 69.0","  2.0"," 87.0","  1.0"
" -7.5"," 37.5","-10.0"," 35.0"," 69.0","  7.0"," 87.0","  1.0"
" -7.5"," 37.5","-10.0"," 35.0"," 69.0"," 14.0"," 87.0","  1.0"
" -7.5"," 37.5","-10.0"," 35.0"," 69.0"," 21.0"," 87.0","  1.0"
" -7.5"," 37.5","-10.0"," 35.0"," 69.0"," 28.0"," 87.0","  1.0"
