"X1","X2","X3","X4","X5","X6","X7","X8"
"-10.0"," 35.0","-10.0"," 37.5","134.0","  2.0","  1.0"," 82.0"
"-10.0"," 35.0","-10.0"," 37.5","134.0","  7.0","  1.0"," 82.0"
"-10.0"," 35.0","-10.0"," 37.5","134.0"," 14.0","  1.0"," 82.0"
"-10.0"," 35.0","-10.0"," 37.5","134.0"," 21.0","  1.0"," 82.0"
"-10.0"," 35.0","-10.0"," 37.5","134.0"," 28.0","  1.0"," 82.0"
"-10.0"," 35.0"," -7.5"," 37.5","135.0","  2.0","  1.0"," 87.0"
"-10.0"," 35.0"," -7.5"," 37.5","135.0","  7.0","  1.0"," 87.0"
"-10.0"," 35.0"," -7.5"," 37.5","135.0"," 14.0","  1.0"," 87.0"
"-10.0"," 35.0"," -7.5"," 37.5","135.0"," 21.0","  1.0"," 87.0"
"-10.0"," 35.0"," -7.5"," 37.5","135.0"," 28.0","  1.0"," 87.0"
"-10.0"," 37.5","-10.0"," 40.0"," 17.0","  2.0"," 82.0","163.0"
"-10.0"," 37.5","-10.0"," 40.0"," 17.0","  7.0"," 82.0","163.0"
"-10.0"," 37.5","-10.0"," 40.0"," 17.0"," 14.0"," 82.0","163.0"
"-10.0"," 37.5"," -7.5"," 40.0"," 17.0","  2.0"," 82.0","168.0"
"-10.0"," 37.5"," -7.5"," 40.0"," 17.0","  7.0"," 82.0","168.0"
"-10.0"," 37.5"," -7.5"," 40.0"," 17.0"," 14.0"," 82.0","168.0"
"-10.0"," 40.0"," -7.5"," 42.5"," 15.0","  2.0","163.0","249.0"
"-10.0"," 40.0"," -7.5"," 42.5"," 15.0","  7.0","163.0","249.0"
"-10.0"," 40.0"," -7.5"," 42.5"," 15.0"," 14.0","163.0","249.0"
"-10.0"," 42.5"," -7.5"," 42.5"," 15.0","  2.0","244.0","249.0"
"-10.0"," 42.5"," -7.5"," 42.5"," 15.0","  7.0","244.0","249.0"
"-10.0"," 42.5"," -7.5"," 42.5"," 15.0"," 14.0","244.0","249.0"
"-10.0"," 45.0","-10.0"," 47.5","  6.0","  2.0","325.0","406.0"
"-10.0"," 45.0"," -7.5"," 42.5"," 15.0","  2.0","325.0","249.0"
"-10.0"," 45.0"," -7.5"," 42.5"," 15.0","  7.0","325.0","249.0"
"-10.0"," 45.0"," -7.5"," 42.5"," 15.0"," 14.0","325.0","249.0"
"-10.0"," 45.0"," -7.5"," 47.5","  5.0","  2.0","325.0","411.0"
"-10.0"," 47.5","-10.0"," 50.0","  3.0","  2.0","406.0","487.0"
"-10.0"," 47.5"," -7.5"," 50.0","  6.0","  2.0","406.0","492.0"
"-10.0"," 50.0"," -7.5"," 50.0","  3.0","  2.0","487.0","492.0"
"-10.0"," 50.0"," -7.5"," 50.0","  3.0","  2.0","487.0","492.0"
" -7.5"," 35.0","-10.0"," 37.5","134.0","  2.0","  6.0"," 82.0"
" -7.5"," 35.0","-10.0"," 37.5","134.0","  7.0","  6.0"," 82.0"
" -7.5"," 35.0","-10.0"," 37.5","134.0"," 14.0","  6.0"," 82.0"
" -7.5"," 35.0","-10.0"," 37.5","134.0"," 21.0","  6.0"," 82.0"
" -7.5"," 35.0","-10.0"," 37.5","134.0"," 28.0","  6.0"," 82.0"
" -7.5"," 35.0"," -7.5"," 37.5","135.0","  2.0","  6.0"," 87.0"
" -7.5"," 35.0"," -7.5"," 37.5","135.0","  7.0","  6.0"," 87.0"
" -7.5"," 35.0"," -7.5"," 37.5","135.0"," 14.0","  6.0"," 87.0"
" -7.5"," 35.0"," -7.5"," 37.5","135.0"," 21.0","  6.0"," 87.0"
" -7.5"," 35.0"," -7.5"," 37.5","135.0"," 28.0","  6.0"," 87.0"
" -7.5"," 35.0"," -5.0"," 35.0","144.0","  2.0","  6.0"," 11.0"
" -7.5"," 35.0"," -5.0"," 35.0","144.0","  7.0","  6.0"," 11.0"
" -7.5"," 35.0"," -5.0"," 35.0","144.0"," 14.0","  6.0"," 11.0"
" -7.5"," 35.0"," -5.0"," 35.0","144.0"," 21.0","  6.0"," 11.0"
" -7.5"," 35.0"," -5.0"," 35.0","144.0"," 28.0","  6.0"," 11.0"
" -7.5"," 35.0"," -5.0"," 37.5","143.0","  2.0","  6.0"," 92.0"
" -7.5"," 35.0"," -5.0"," 37.5","143.0","  7.0","  6.0"," 92.0"
" -7.5"," 35.0"," -5.0"," 37.5","143.0"," 14.0","  6.0"," 92.0"
" -7.5"," 35.0"," -5.0"," 37.5","143.0"," 21.0","  6.0"," 92.0"
" -7.5"," 35.0"," -5.0"," 37.5","143.0"," 28.0","  6.0"," 92.0"
" -7.5"," 37.5","-10.0"," 40.0"," 16.0","  2.0"," 87.0","163.0"
" -7.5"," 37.5","-10.0"," 40.0"," 16.0","  7.0"," 87.0","163.0"
" -7.5"," 37.5","-10.0"," 40.0"," 16.0"," 14.0"," 87.0","163.0"
" -7.5"," 37.5"," -7.5"," 40.0"," 16.0","  2.0"," 87.0","168.0"
" -7.5"," 37.5"," -7.5"," 40.0"," 16.0","  7.0"," 87.0","168.0"
" -7.5"," 37.5"," -7.5"," 40.0"," 16.0"," 14.0"," 87.0","168.0"
"-7.5","37.5","-5.0","35.0"," 9.0"," 2.0","87.0","11.0"
"-7.5","37.5","-5.0","35.0"," 9.0"," 7.0","87.0","11.0"
"-7.5","37.5","-5.0","37.5"," 8.0"," 2.0","87.0","92.0"
"-7.5","37.5","-5.0","37.5"," 8.0"," 7.0","87.0","92.0"
" -7.5"," 37.5"," -5.0"," 40.0"," 22.0","  2.0"," 87.0","173.0"
" -7.5"," 37.5"," -5.0"," 40.0"," 22.0","  7.0"," 87.0","173.0"
" -7.5"," 37.5"," -5.0"," 40.0"," 22.0"," 14.0"," 87.0","173.0"
" -7.5"," 37.5"," -5.0"," 40.0"," 22.0"," 21.0"," 87.0","173.0"
