"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","113","104","132","126","126","120","119","121","122","121","122","122","119","117","110","117","118"
"End veg. day","293","293","274","289","289","289","290","289","290","291","291","292","293","295","294","294","293"
"Veg. sum days","180","189","142","163","163","169","171","168","168","170","169","170","174","178","184","177","175"
"Sum of temperature","2703.75","2720","1491.59","2395.08","2591.9","2830.58","2986.72","2986.27","3121.13","3216.05","3362.28","3405.84","3527.52","3688.58","3698.85","3546.82","3474.05"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","130","131","133","138","137","135","136","136","136","135","136","135","133","132","124","128","125"
"End veg. day","274","275","276","276","278","287","286","285","285","285","285","286","286","286","286","284","283"
"Veg. sum days","144","144","143","138","141","152","150","149","149","150","149","151","153","154","162","156","158"
"Sum of temperature","1727.6","1880.15","1897.59","1918.11","2062.86","2303.86","2364.47","2428.95","2522.03","2613.08","2660.41","2845.18","2946.27","2957.55","2956.41","2724.99","2755.9"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","169","158","155","153","149","153","154","149","145","145","145","143","141","143","146","145"
"End veg. day","-Inf","253","265","266","274","275","275","276","276","277","277","277","278","278","277","268","269"
"Veg. sum days","-Inf","84","107","111","121","126","122","122","127","132","132","132","135","137","134","122","124"
"Sum of temperature","0","750.58","1098.43","1340.57","1565.65","1716.18","1746.71","1858.27","2026.32","2094.97","2126.91","2184.21","2360.42","2401.58","2224.09","1832.83","1987.08"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","169","165","164","160","159","159","159","156","150","154","162","156"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","258","264","265","266","266","267","267","267","267","267","260","266"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","89","99","101","106","107","108","108","111","117","113","98","110"
"Sum of temperature","0","0","0","0","0","977.02","1208.35","1353.78","1549.3","1636.43","1664.63","1695.11","1768.25","1814.06","1799.04","1316.15","1530.35"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","188","179","175","168","167","166","165","165","161","162","162"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","245","253","257","259","260","260","260","260","260","260","256"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","57","74","82","91","93","94","95","95","99","98","94"
"Sum of temperature","0","0","0","0","0","0","518.34","797.41","987.51","1165.24","1265.64","1292.15","1310.99","1275.14","1376.43","1316.15","1240.11"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","200","190","181","181","177","176","176","175","177","168"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","244","246","246","253","254","254","254","252","253"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","27","54","65","65","76","78","78","79","75","85"
"Sum of temperature","0","0","0","0","0","0","0","102.21","478.61","656.79","714.15","882.1","908.91","924.87","979.78","898.36","995.88"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","198","192","188","186","185","184","185","186"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","234","244","245","245","245","246","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","31","42","56","59","60","61","61","60"
"Sum of temperature","0","0","0","0","0","0","0","0","0","155.94","339.92","518.06","589.9","614.71","630.41","634.18","613.05"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","198","196","195","195","194","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","230","233","234","235","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","31","34","38","39","41","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","150.48","199.34","291.13","320.82","344.04","0"
