"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","114","105","133","127","126","122","120","122","124","123","123","122","120","118","111","118","118"
"End veg. day","292","292","274","289","288","289","289","289","289","290","291","292","293","294","293","293","292"
"Veg. sum days","178","187","141","162","162","167","169","167","165","167","168","170","173","176","182","175","174"
"Sum of temperature","2623.55","2634.16","1433.78","2328.4","2525.16","2756.07","2911.31","2916.79","3042.17","3136.54","3292.44","3340.54","3455.44","3609.92","3616.28","3468.55","3401.21"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","131","131","135","139","138","137","137","137","137","136","137","135","134","133","124","130","129"
"End veg. day","273","275","275","276","277","286","285","285","284","285","284","286","286","286","285","283","283"
"Veg. sum days","142","144","140","137","139","149","148","148","147","149","147","151","152","153","161","153","154"
"Sum of temperature","1663.89","1826.15","1829.93","1862.25","2001.19","2233.05","2299.02","2368.77","2456.88","2552.39","2595.21","2788.78","2884.05","2894.95","2889.7","2651.79","2676.67"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","170","159","155","153","150","154","154","149","149","149","146","144","142","144","146","145"
"End veg. day","-Inf","253","264","265","273","275","275","276","276","276","276","276","277","278","277","267","269"
"Veg. sum days","-Inf","83","105","110","120","125","121","122","127","127","127","130","133","136","133","121","124"
"Sum of temperature","0","716.22","1051.1","1296.76","1517.9","1666.38","1698.52","1814.97","1980.92","2022.91","2054.55","2126.52","2301.83","2346.77","2170.37","1784.43","1942.48"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","169","166","164","160","159","159","159","156","153","155","163","157"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","258","264","265","266","266","266","267","267","267","267","260","266"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","89","98","101","106","107","107","108","111","114","112","97","109"
"Sum of temperature","0","0","0","0","0","945.42","1168.17","1317.88","1511.8","1598.63","1621.46","1656.91","1729.15","1756.61","1754.38","1276.8","1486.7"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","189","179","175","168","167","166","166","165","162","163","163"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","245","253","255","259","260","260","260","259","260","260","256"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","56","74","80","91","93","94","94","94","98","97","93"
"Sum of temperature","0","0","0","0","0","0","492.92","770.81","948.56","1132.94","1232.64","1258.85","1272.55","1236.84","1336.89","1276.8","1202.33"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","190","182","182","178","177","176","176","177","175"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","244","245","246","247","247","247","252","247","252"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","54","63","64","69","70","71","76","70","77"
"Sum of temperature","0","0","0","0","0","0","0","0","458.91","624.13","686.02","818.86","840.82","861.62","936.75","847.19","925.89"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","193","189","187","186","184","187","187"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","234","243","244","245","245","245","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","29","41","54","57","59","61","58","59"
"Sum of temperature","0","0","0","0","0","0","0","0","0","125.04","319.86","488.14","559.13","588.32","608.51","597.72","586.65"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","198","195","196","194","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","229","233","234","234","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","29","31","38","38","40","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","119.35","151.39","277.73","291.62","324.2","0"
