"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","125","116","149","134","134","131","129","131","132","130","130","131","128","122","119","120","121"
"End veg. day","277","277","261","277","277","286","286","285","286","287","288","289","290","290","290","289","288"
"Veg. sum days","152","161","112","143","143","155","157","154","154","157","158","158","162","168","171","169","167"
"Sum of temperature","2088.2","2060.85","997.5","1877.52","2067.38","2319.33","2465.22","2473.64","2608.69","2701.86","2855.35","2894.09","3002.9","3157.32","3140.56","3026.46","2957.41"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","147","146","148","149","148","144","145","145","145","145","145","143","142","141","134","137","135"
"End veg. day","271","272","273","274","274","275","276","276","277","277","277","279","280","281","281","278","279"
"Veg. sum days","124","126","125","125","126","131","131","131","132","132","132","136","138","140","147","141","144"
"Sum of temperature","1266.18","1418.24","1455.03","1509.67","1634.14","1828.96","1902.4","1976.08","2073.65","2155.66","2208.52","2387.13","2479.7","2491.03","2461.8","2247.26","2275.77"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","180","169","159","156","156","156","157","155","155","155","154","147","145","146","154","151"
"End veg. day","-Inf","249","252","254","264","265","265","266","266","267","267","267","268","268","267","266","266"
"Veg. sum days","-Inf","69","83","95","108","109","109","109","111","112","112","113","121","123","121","112","115"
"Sum of temperature","0","479.77","736.43","986.3","1212.03","1330.72","1382.68","1489.03","1628.31","1674.86","1708.55","1770.2","1946.59","1985.44","1827.47","1486.37","1632.2"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","176","173","170","165","164","164","162","159","156","157","165","161"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","252","254","258","264","265","265","265","266","265","266","254","256"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","76","81","88","99","101","101","103","107","109","109","89","95"
"Sum of temperature","0","0","0","0","0","704.38","887.31","1040.89","1252.94","1338.57","1361.98","1400.52","1471.38","1487.36","1497.45","1036.47","1194.49"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","192","188","179","176","175","169","168","168","165","165","166"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","230","245","247","253","255","255","255","254","255","254","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","38","57","68","77","80","86","87","86","90","89","81"
"Sum of temperature","0","0","0","0","0","0","281.13","537.94","721.43","883.07","975.75","1022.48","1040.27","1001.1","1093","1036.47","945.91"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","198","190","189","181","180","180","180","181","180"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","231","243","244","245","245","246","246","246","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","33","53","55","64","65","66","66","65","66"
"Sum of temperature","0","0","0","0","0","0","0","0","208.16","450.75","514.01","648.76","668.83","688.3","733.16","674.6","716.52"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","201","191","191","190","189","190","190"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","233","234","235","235","241","241"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","27","42","43","45","46","51","51"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","98.42","323.52","371.88","397.14","409.09","442.54","426.5"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","202","202","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","229","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","27","27","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.13","93.93","0"
