"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","125","118","150","135","135","132","130","132","132","131","131","132","130","122","119","120","122"
"End veg. day","276","276","257","276","277","286","286","285","286","287","287","288","290","290","289","288","287"
"Veg. sum days","151","158","107","141","142","154","156","153","154","156","156","156","160","168","170","168","165"
"Sum of temperature","2040.86","2000.34","945.52","1829.17","2023.7","2271.79","2417","2426.3","2566.29","2653.75","2801.61","2840.75","2948.13","3109.72","3086.77","2973.46","2900.15"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","149","147","149","149","149","145","145","146","146","145","145","143","142","142","135","139","137"
"End veg. day","257","271","272","273","274","275","275","276","276","277","277","278","280","281","280","277","269"
"Veg. sum days","108","124","123","124","125","130","130","130","130","132","132","135","138","139","145","138","132"
"Sum of temperature","1145.43","1375.93","1413.42","1472.96","1597","1789.86","1863.23","1937.14","2029.54","2121.16","2174.02","2346.32","2443.1","2448.98","2412.14","2194.85","2177.14"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","181","169","160","157","156","157","157","155","155","155","155","149","146","150","154","152"
"End veg. day","-Inf","228","251","253","264","265","265","266","266","266","267","267","267","267","267","265","266"
"Veg. sum days","-Inf","47","82","93","107","109","108","109","111","111","112","112","118","121","117","111","114"
"Sum of temperature","0","338.19","710.68","953.11","1180.07","1303.42","1350.51","1461.63","1600.51","1641.97","1680.45","1737.09","1901.26","1943.88","1776.54","1453.54","1598.49"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","177","174","170","165","164","164","162","159","156","158","166","161"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","251","254","258","260","265","265","265","265","261","265","248","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","74","80","88","95","101","101","103","106","105","107","82","94"
"Sum of temperature","0","0","0","0","0","675.11","861.76","1018.49","1207.16","1312.87","1336.28","1374.42","1439.52","1437.67","1460.34","978.29","1166.07"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","193","188","179","177","175","174","168","168","165","166","166"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","230","245","246","253","254","255","255","248","255","248","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","37","57","67","76","79","81","87","80","90","82","81"
"Sum of temperature","0","0","0","0","0","0","257.64","523.64","699.34","858.49","950.55","975.81","1018.37","947.63","1070.5","978.29","926.01"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","190","189","181","181","181","180","181","180"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","231","243","244","245","245","245","246","245","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","32","53","55","64","64","64","66","64","66"
"Sum of temperature","0","0","0","0","0","0","0","0","189.16","437.65","500.31","632.46","647.42","661.87","716.36","653.08","699.72"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","201","192","191","190","190","191","191"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","232","234","234","235","241","235"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","27","40","43","44","45","50","44"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","94.42","302.79","360.88","380.84","392.38","424.88","376.05"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","203","203","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","229","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","25","26","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.96","79.34","0"
