"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"20/47.5","126","47.5","20","Min","1"
"20/50","149","50","20","Min","18"
"22.5/47.5","119","47.5","22.5","Min","2"
"22.5/50","147","50","22.5","Min","19"
"22.5/52.5","181","52.5","22.5","Min","36"
"25/47.5","155","47.5","25","Min","3"
"25/50","149","50","25","Min","20"
"25/52.5","170","52.5","25","Min","37"
"27.5/47.5","135","47.5","27.5","Min","4"
"27.5/50","149","50","27.5","Min","21"
"27.5/52.5","160","52.5","27.5","Min","38"
"30/47.5","135","47.5","30","Min","5"
"30/50","149","50","30","Min","22"
"30/52.5","157","52.5","30","Min","39"
"32.5/47.5","132","47.5","32.5","Min","6"
"32.5/50","145","50","32.5","Min","23"
"32.5/52.5","156","52.5","32.5","Min","40"
"32.5/55","177","55","32.5","Min","57"
"35/47.5","131","47.5","35","Min","7"
"35/50","145","50","35","Min","24"
"35/52.5","157","52.5","35","Min","41"
"35/55","174","55","35","Min","58"
"35/57.5","193","57.5","35","Min","75"
"37.5/47.5","132","47.5","37.5","Min","8"
"37.5/50","146","50","37.5","Min","25"
"37.5/52.5","157","52.5","37.5","Min","42"
"37.5/55","170","55","37.5","Min","59"
"37.5/57.5","189","57.5","37.5","Min","76"
"40/47.5","132","47.5","40","Min","9"
"40/50","146","50","40","Min","26"
"40/52.5","155","52.5","40","Min","43"
"40/55","165","55","40","Min","60"
"40/57.5","179","57.5","40","Min","77"
"40/60","199","60","40","Min","94"
"42.5/47.5","132","47.5","42.5","Min","10"
"42.5/50","145","50","42.5","Min","27"
"42.5/52.5","155","52.5","42.5","Min","44"
"42.5/55","164","55","42.5","Min","61"
"42.5/57.5","177","57.5","42.5","Min","78"
"42.5/60","190","60","42.5","Min","95"
"45/47.5","131","47.5","45","Min","11"
"45/50","145","50","45","Min","28"
"45/52.5","155","52.5","45","Min","45"
"45/55","164","55","45","Min","62"
"45/57.5","175","57.5","45","Min","79"
"45/60","189","60","45","Min","96"
"45/62.5","202","62.5","45","Min","113"
"47.5/47.5","132","47.5","47.5","Min","12"
"47.5/50","144","50","47.5","Min","29"
"47.5/52.5","155","52.5","47.5","Min","46"
"47.5/55","163","55","47.5","Min","63"
"47.5/57.5","174","57.5","47.5","Min","80"
"47.5/60","181","60","47.5","Min","97"
"47.5/62.5","192","62.5","47.5","Min","114"
"50/47.5","130","47.5","50","Min","13"
"50/50","142","50","50","Min","30"
"50/52.5","150","52.5","50","Min","47"
"50/55","160","55","50","Min","64"
"50/57.5","169","57.5","50","Min","81"
"50/60","181","60","50","Min","98"
"50/62.5","191","62.5","50","Min","115"
"52.5/47.5","123","47.5","52.5","Min","14"
"52.5/50","142","50","52.5","Min","31"
"52.5/52.5","146","52.5","52.5","Min","48"
"52.5/55","156","55","52.5","Min","65"
"52.5/57.5","169","57.5","52.5","Min","82"
"52.5/60","181","60","52.5","Min","99"
"52.5/62.5","191","62.5","52.5","Min","116"
"55/47.5","119","47.5","55","Min","15"
"55/50","135","50","55","Min","32"
"55/52.5","150","52.5","55","Min","49"
"55/55","158","55","55","Min","66"
"55/57.5","165","57.5","55","Min","83"
"55/60","180","60","55","Min","100"
"55/62.5","190","62.5","55","Min","117"
"55/65","203","65","55","Min","134"
"57.5/47.5","120","47.5","57.5","Min","16"
"57.5/50","139","50","57.5","Min","33"
"57.5/52.5","154","52.5","57.5","Min","50"
"57.5/55","166","55","57.5","Min","67"
"57.5/57.5","166","57.5","57.5","Min","84"
"57.5/60","181","60","57.5","Min","101"
"57.5/62.5","191","62.5","57.5","Min","118"
"57.5/65","203","65","57.5","Min","135"
"60/47.5","122","47.5","60","Min","17"
"60/50","137","50","60","Min","34"
"60/52.5","152","52.5","60","Min","51"
"60/55","161","55","60","Min","68"
"60/57.5","166","57.5","60","Min","85"
"60/60","180","60","60","Min","102"
"60/62.5","191","62.5","60","Min","119"
