"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","146","145","176","156","156","154","151","153","153","152","152","153","151","143","140","143","144"
"End veg. day","275","275","253","275","276","277","278","280","285","286","287","287","289","289","288","287","285"
"Veg. sum days","129","130","77","119","120","123","127","127","132","134","135","134","138","146","148","144","141"
"Sum of temperature","1761.34","1675.76","681.98","1587.35","1762.71","1935.76","2084.56","2109.11","2266.43","2351.97","2495","2522.53","2626.9","2815.67","2790.68","2669.3","2603.39"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","170","169","170","170","170","167","169","169","168","166","166","164","163","163","157","161","160"
"End veg. day","255","271","271","272","273","274","275","275","276","276","276","277","278","279","278","269","269"
"Veg. sum days","85","102","101","102","103","107","106","106","108","110","110","113","115","116","121","108","109"
"Sum of temperature","897.59","1118.41","1157.93","1224.59","1333.25","1515.93","1565.42","1635.46","1733.37","1827.84","1878.52","2033.7","2115.85","2112.56","2102.57","1849.59","1872.4"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","206","192","184","178","177","178","178","176","175","175","175","171","167","171","175","172"
"End veg. day","-Inf","227","251","253","263","264","265","265","266","266","266","266","267","267","266","261","266"
"Veg. sum days","-Inf","21","59","69","85","87","87","87","90","91","91","91","96","100","95","86","94"
"Sum of temperature","0","151.76","498.73","722.45","954.24","1071.07","1117.53","1213.63","1344.85","1386.68","1413.08","1458.32","1611.01","1668.58","1480.04","1168.75","1331.56"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","198","195","191","186","184","184","184","180","177","178","187","182"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","246","253","255","259","260","260","260","261","260","260","247","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","48","58","64","73","76","76","76","81","83","82","60","73"
"Sum of temperature","0","0","0","0","0","442.45","619.57","769","962.86","1045.65","1066.76","1083.1","1171.2","1183.2","1178.83","757.97","919.62"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","218","209","200","198","196","195","189","189","186","187","187"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","244","245","247","253","254","254","247","248","247","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","10","35","45","49","57","59","65","58","62","60","60"
"Sum of temperature","0","0","0","0","0","0","75.85","301.28","483.86","577.58","682.36","710.51","799.34","732.85","814.86","757.97","718.93"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","219","210","210","202","201","201","201","202","201"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","234","243","244","244","245","245","245","245"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","10","24","33","42","43","44","44","43","44"
"Sum of temperature","0","0","0","0","0","0","0","0","71.95","198.45","277.41","410.42","427.07","441.83","472.67","425.98","460.52"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","222","213","212","211","211","212","212"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","222","229","233","234","234","234","234"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","0","16","21","23","23","22","22"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","5.17","115.21","164.26","186.27","193.51","193.16","186.6"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
