"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","108","103","131","125","122","119","116","119","120","120","120","119","119","117","110","111","117"
"End veg. day","294","294","275","290","289","290","290","290","290","291","292","293","294","297","297","296","296"
"Veg. sum days","186","191","144","165","167","171","174","171","170","171","172","174","175","180","187","185","179"
"Sum of temperature","2839.93","2840.14","1581.03","2497.37","2704.97","2937.22","3100.27","3097.72","3227.32","3318.03","3474.61","3523.73","3632.25","3800.69","3820.89","3694.86","3594.88"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","127","128","132","137","134","133","133","134","134","134","135","133","132","128","123","124","124"
"End veg. day","275","276","276","277","287","287","287","286","286","286","286","287","287","287","287","285","284"
"Veg. sum days","148","148","144","140","153","154","154","152","152","152","151","154","155","159","164","161","160"
"Sum of temperature","1829.89","1981.12","1982.34","2004.59","2205.31","2398.9","2468.78","2527.65","2620.6","2707.09","2753.76","2945.08","3042.32","3069.68","3058.69","2838.84","2855.77"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","168","157","154","148","146","146","153","145","145","145","145","143","139","141","145","145"
"End veg. day","-Inf","257","265","273","275","276","276","276","277","277","277","277","278","279","278","268","270"
"Veg. sum days","-Inf","89","108","119","127","130","130","123","132","132","132","132","135","140","137","123","125"
"Sum of temperature","0","822.15","1160.71","1444.39","1664.36","1804.31","1856.85","1928.36","2122.72","2166.37","2198.31","2255.61","2433.82","2492.08","2312.8","1904.07","2059.12"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","165","165","161","159","158","158","158","155","145","153","161","155"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","259","264","265","266","267","267","268","268","267","268","261","266"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","94","99","104","107","109","109","110","113","122","115","100","111"
"Sum of temperature","0","0","0","0","0","1052.29","1261.45","1424.07","1611.03","1704.3","1727.23","1763.05","1837.81","1904.08","1869.6","1378.93","1593.98"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","188","178","174","167","166","165","165","164","161","161","161"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","246","254","258","260","264","265","265","260","261","261","260"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","58","76","84","93","98","100","100","96","100","100","99"
"Sum of temperature","0","0","0","0","0","0","554.92","848.76","1042.86","1224.94","1343.74","1375.7","1389.2","1331.44","1434.83","1378.93","1316.98"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","198","189","180","180","176","175","174","173","175","167"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","244","246","247","254","254","254","255","254","254"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","30","55","66","67","78","79","80","82","79","87"
"Sum of temperature","0","0","0","0","0","0","0","146.74","513.81","698.01","760.92","934.28","956.7","978.01","1038.66","960.56","1052.54"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","194","191","187","183","183","183","183","184"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","243","244","245","245","246","246","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","35","52","57","62","62","63","63","62"
"Sum of temperature","0","0","0","0","0","0","0","0","0","218.47","420.26","554.11","638.7","658.93","674.93","678.92","656.96"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","197","195","194","194","193","204"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","229","231","234","235","240","225"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","32","36","40","41","47","21"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","176.37","243.56","332.27","353.12","400.61","20.63"
