"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","115","106","135","131","130","125","122","125","125","125","124","124","122","118","117","118","119"
"End veg. day","291","291","273","288","288","288","289","288","289","290","290","291","292","293","292","292","291"
"Veg. sum days","176","185","138","157","158","163","167","163","164","165","166","167","170","175","175","174","172"
"Sum of temperature","2525.86","2530.6","1351.14","2227.21","2427.88","2655.49","2818.23","2816.32","2956.68","3045.04","3200.43","3243.04","3356.44","3518.47","3490.04","3377.51","3305.79"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","132","132","138","143","139","138","138","140","142","140","141","136","135","134","128","131","130"
"End veg. day","273","274","275","275","276","278","280","280","282","282","281","285","285","285","285","282","282"
"Veg. sum days","141","142","137","132","137","140","142","140","140","142","140","149","150","151","157","151","152"
"Sum of temperature","1589.44","1746.41","1747.97","1773.51","1925.29","2118.68","2199.7","2260.44","2353.89","2448.18","2491.85","2707.63","2802.02","2812.02","2791.8","2567.76","2592.31"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","172","160","156","154","153","154","155","151","150","150","150","144","143","144","150","146"
"End veg. day","-Inf","252","264","265","266","274","275","275","276","276","276","276","277","277","269","267","268"
"Veg. sum days","-Inf","80","104","109","112","121","121","120","125","126","126","126","133","134","125","117","122"
"Sum of temperature","0","664.47","998.72","1242.18","1422.82","1589.7","1643.62","1750.1","1913.43","1959.96","1991.53","2046.99","2239.73","2273.81","2065.72","1709.79","1875.55"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","170","166","165","161","160","160","160","157","154","155","163","158"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","254","260","264","265","266","266","266","267","266","267","256","262"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","84","94","99","104","106","106","106","110","112","112","93","104"
"Sum of temperature","0","0","0","0","0","881.65","1103.21","1262.1","1454.01","1545.1","1568.22","1598.25","1674.08","1695.36","1703.68","1214.29","1411.73"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","189","180","177","170","167","167","166","165","163","163","163"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","244","252","254","257","259","259","259","256","259","256","255"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","55","72","77","87","92","92","93","91","96","93","92"
"Sum of temperature","0","0","0","0","0","0","462.9","726.9","897.35","1072.31","1185.63","1206.53","1224.95","1179.93","1282.76","1214.29","1155.4"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","190","188","186","179","178","177","177","178","175"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","243","245","245","246","246","247","247","247","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","53","57","59","67","68","70","70","69","72"
"Sum of temperature","0","0","0","0","0","0","0","0","429.93","566.83","632.31","777.61","799.13","824.64","871.3","810.5","866.16"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","201","194","189","188","187","187","187","188"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","227","233","235","244","244","244","245","245"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","26","39","46","56","57","57","58","57"
"Sum of temperature","0","0","0","0","0","0","0","0","0","81.92","291.34","419.47","528.57","552.28","561.43","571.32","550.41"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","201","201","196","197","195","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","221","229","231","233","234","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","20","28","35","36","39","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","10.39","108.02","221.94","246.48","301.38","0"
