"LGM","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"47.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","132","128","162","149","145","139","136","138","139","138","138","140","136","131","124","128","130"
"End veg. day","273","273","251","273","274","275","275","275","276","277","280","282","284","284","283","282","282"
"Veg. sum days","141","145","89","124","129","136","139","137","137","139","142","142","148","153","159","154","152"
"Sum of temperature","1615.43","1551.89","628.55","1417.69","1623.2","1825.67","1963.75","1984.65","2116.48","2196.38","2352.9","2394.92","2500.75","2622.41","2608.3","2489.55","2430.05"
"","","","","","","","","","","","","","","","","",""
"50","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","155","152","155","155","154","152","152","152","151","151","151","148","146","145","143","145","145"
"End veg. day","251","253","255","259","264","266","266","266","267","267","267","275","275","276","268","267","267"
"Veg. sum days","96","101","100","104","110","114","114","114","116","116","116","127","129","131","125","122","122"
"Sum of temperature","842.1","990.25","1027.34","1098.57","1238.26","1410.61","1484.67","1558.28","1656.25","1733.89","1788.35","1987.51","2074.13","2081.58","1973.9","1802.21","1816.59"
"","","","","","","","","","","","","","","","","",""
"52.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","179","171","165","161","163","161","158","157","157","157","154","152","152","158","156"
"End veg. day","-Inf","-Inf","228","251","253","254","258","260","265","265","265","265","266","266","262","255","256"
"Veg. sum days","-Inf","-Inf","49","80","88","93","95","99","107","108","108","108","112","114","110","97","100"
"Sum of temperature","0","0","361.01","682.18","850.97","975.86","1038.94","1159.71","1321.71","1367.28","1400.36","1455.26","1598.79","1628.42","1468.3","1138.74","1269.4"
"","","","","","","","","","","","","","","","","",""
"55","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","188","179","177","171","166","166","165","164","159","161","176","163"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","231","246","253","254","255","255","256","256","255","255","246","247"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","43","67","76","83","89","89","91","92","96","94","70","84"
"Sum of temperature","0","0","0","0","0","356.84","617.33","765.31","934.38","1028.64","1049.91","1086.29","1134.56","1153.92","1157.5","735.31","903.94"
"","","","","","","","","","","","","","","","","",""
"57.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","191","188","180","179","178","178","178","176","176","177"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","232","244","245","246","246","246","246","246","246","246"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","41","56","65","67","68","68","68","70","70","69"
"Sum of temperature","0","0","0","0","0","0","0","317.83","495.1","638.54","715.73","734.49","743.95","714.3","778.11","735.31","686.69"
"","","","","","","","","","","","","","","","","",""
"60","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","199","191","188","187","186","183","184","184"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","228","232","234","234","235","243","241","242"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","29","41","46","47","49","60","57","58"
"Sum of temperature","0","0","0","0","0","0","0","0","0","142.05","309.78","398.43","413.89","435.05","534.92","471.98","511.26"
"","","","","","","","","","","","","","","","","",""
"62.5","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","200","195","194","194","195","201"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","220","228","229","229","230","230"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","20","33","35","35","35","29"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","10.22","177.43","213.05","216.03","218.17","124.25"
"","","","","","","","","","","","","","","","","",""
"65","20","22.5","25","27.5","30","32.5","35","37.5","40","42.5","45","47.5","50","52.5","55","57.5","60"
"Start veg. day","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf"
"End veg. day","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Veg. sum days","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"Sum of temperature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
