"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"20/47.5","301","47.5","20","Max","1"
"20/50","292","50","20","Max","18"
"20/52.5","252","52.5","20","Max","35"
"22.5/47.5","301","47.5","22.5","Max","2"
"22.5/50","292","50","22.5","Max","19"
"22.5/52.5","274","52.5","22.5","Max","36"
"25/47.5","291","47.5","25","Max","3"
"25/50","291","50","25","Max","20"
"25/52.5","276","52.5","25","Max","37"
"25/55","214","55","25","Max","54"
"27.5/47.5","295","47.5","27.5","Max","4"
"27.5/50","291","50","27.5","Max","21"
"27.5/52.5","277","52.5","27.5","Max","38"
"27.5/55","227","55","27.5","Max","55"
"30/47.5","294","47.5","30","Max","5"
"30/50","291","50","30","Max","22"
"30/52.5","280","52.5","30","Max","39"
"30/55","228","55","30","Max","56"
"32.5/47.5","293","47.5","32.5","Max","6"
"32.5/50","291","50","32.5","Max","23"
"32.5/52.5","286","52.5","32.5","Max","40"
"32.5/55","266","55","32.5","Max","57"
"32.5/57.5","228","57.5","32.5","Max","74"
"35/47.5","293","47.5","35","Max","7"
"35/50","290","50","35","Max","24"
"35/52.5","285","52.5","35","Max","41"
"35/55","276","55","35","Max","58"
"35/57.5","258","57.5","35","Max","75"
"35/60","213","60","35","Max","92"
"37.5/47.5","294","47.5","37.5","Max","8"
"37.5/50","290","50","37.5","Max","25"
"37.5/52.5","286","52.5","37.5","Max","42"
"37.5/55","276","55","37.5","Max","59"
"37.5/57.5","264","57.5","37.5","Max","76"
"37.5/60","244","60","37.5","Max","93"
"40/47.5","295","47.5","40","Max","9"
"40/50","290","50","40","Max","26"
"40/52.5","286","52.5","40","Max","43"
"40/55","277","55","40","Max","60"
"40/57.5","266","57.5","40","Max","77"
"40/60","254","60","40","Max","94"
"40/62.5","233","62.5","40","Max","111"
"42.5/47.5","301","47.5","42.5","Max","10"
"42.5/50","290","50","42.5","Max","27"
"42.5/52.5","285","52.5","42.5","Max","44"
"42.5/55","277","55","42.5","Max","61"
"42.5/57.5","267","57.5","42.5","Max","78"
"42.5/60","258","60","42.5","Max","95"
"42.5/62.5","245","62.5","42.5","Max","112"
"42.5/65","221","65","42.5","Max","129"
"45/47.5","302","47.5","45","Max","11"
"45/50","291","50","45","Max","28"
"45/52.5","285","52.5","45","Max","45"
"45/55","277","55","45","Max","62"
"45/57.5","267","57.5","45","Max","79"
"45/60","259","60","45","Max","96"
"45/62.5","246","62.5","45","Max","113"
"45/65","232","65","45","Max","130"
"47.5/47.5","308","47.5","47.5","Max","12"
"47.5/50","292","50","47.5","Max","29"
"47.5/52.5","285","52.5","47.5","Max","46"
"47.5/55","278","55","47.5","Max","63"
"47.5/57.5","267","57.5","47.5","Max","80"
"47.5/60","260","60","47.5","Max","97"
"47.5/62.5","252","62.5","47.5","Max","114"
"47.5/65","240","65","47.5","Max","131"
"50/47.5","309","47.5","50","Max","13"
"50/50","293","50","50","Max","30"
"50/52.5","286","52.5","50","Max","47"
"50/55","278","55","50","Max","64"
"50/57.5","267","57.5","50","Max","81"
"50/60","260","60","50","Max","98"
"50/62.5","254","62.5","50","Max","115"
"50/65","244","65","50","Max","132"
"52.5/47.5","309","47.5","52.5","Max","14"
"52.5/50","293","50","52.5","Max","31"
"52.5/52.5","285","52.5","52.5","Max","48"
"52.5/55","278","55","52.5","Max","65"
"52.5/57.5","267","57.5","52.5","Max","82"
"52.5/60","260","60","52.5","Max","99"
"52.5/62.5","254","62.5","52.5","Max","116"
"52.5/65","245","65","52.5","Max","133"
"55/47.5","309","47.5","55","Max","15"
"55/50","293","50","55","Max","32"
"55/52.5","285","52.5","55","Max","49"
"55/55","279","55","55","Max","66"
"55/57.5","268","57.5","55","Max","83"
"55/60","264","60","55","Max","100"
"55/62.5","255","62.5","55","Max","117"
"55/65","246","65","55","Max","134"
"57.5/47.5","308","47.5","57.5","Max","16"
"57.5/50","290","50","57.5","Max","33"
"57.5/52.5","281","52.5","57.5","Max","50"
"57.5/55","267","55","57.5","Max","67"
"57.5/57.5","267","57.5","57.5","Max","84"
"57.5/60","261","60","57.5","Max","101"
"57.5/62.5","255","62.5","57.5","Max","118"
"57.5/65","246","65","57.5","Max","135"
"60/47.5","303","47.5","60","Max","17"
"60/50","290","50","60","Max","34"
"60/52.5","283","52.5","60","Max","51"
"60/55","277","55","60","Max","68"
"60/57.5","267","57.5","60","Max","85"
"60/60","262","60","60","Max","102"
"60/62.5","255","62.5","60","Max","119"
"60/65","240","65","60","Max","136"
