"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"20/47.5","94","47.5","20","Min","1"
"20/50","106","50","20","Min","18"
"20/52.5","131","52.5","20","Min","35"
"22.5/47.5","90","47.5","22.5","Min","2"
"22.5/50","106","50","22.5","Min","19"
"22.5/52.5","131","52.5","22.5","Min","36"
"25/47.5","103","47.5","25","Min","3"
"25/50","116","50","25","Min","20"
"25/52.5","130","52.5","25","Min","37"
"25/55","180","55","25","Min","54"
"27.5/47.5","102","47.5","27.5","Min","4"
"27.5/50","117","50","27.5","Min","21"
"27.5/52.5","128","52.5","27.5","Min","38"
"27.5/55","174","55","27.5","Min","55"
"30/47.5","102","47.5","30","Min","5"
"30/50","117","50","30","Min","22"
"30/52.5","131","52.5","30","Min","39"
"30/55","175","55","30","Min","56"
"32.5/47.5","99","47.5","32.5","Min","6"
"32.5/50","116","50","32.5","Min","23"
"32.5/52.5","131","52.5","32.5","Min","40"
"32.5/55","158","55","32.5","Min","57"
"32.5/57.5","179","57.5","32.5","Min","74"
"35/47.5","99","47.5","35","Min","7"
"35/50","117","50","35","Min","24"
"35/52.5","131","52.5","35","Min","41"
"35/55","156","55","35","Min","58"
"35/57.5","175","57.5","35","Min","75"
"35/60","190","60","35","Min","92"
"37.5/47.5","100","47.5","37.5","Min","8"
"37.5/50","119","50","37.5","Min","25"
"37.5/52.5","132","52.5","37.5","Min","42"
"37.5/55","155","55","37.5","Min","59"
"37.5/57.5","168","57.5","37.5","Min","76"
"37.5/60","181","60","37.5","Min","93"
"40/47.5","101","47.5","40","Min","9"
"40/50","119","50","40","Min","26"
"40/52.5","132","52.5","40","Min","43"
"40/55","153","55","40","Min","60"
"40/57.5","165","57.5","40","Min","77"
"40/60","177","60","40","Min","94"
"40/62.5","182","62.5","40","Min","111"
"42.5/47.5","101","47.5","42.5","Min","10"
"42.5/50","119","50","42.5","Min","27"
"42.5/52.5","132","52.5","42.5","Min","44"
"42.5/55","144","55","42.5","Min","61"
"42.5/57.5","163","57.5","42.5","Min","78"
"42.5/60","174","60","42.5","Min","95"
"42.5/62.5","182","62.5","42.5","Min","112"
"42.5/65","192","65","42.5","Min","129"
"45/47.5","101","47.5","45","Min","11"
"45/50","119","50","45","Min","28"
"45/52.5","132","52.5","45","Min","45"
"45/55","144","55","45","Min","62"
"45/57.5","160","57.5","45","Min","79"
"45/60","174","60","45","Min","96"
"45/62.5","180","62.5","45","Min","113"
"45/65","192","65","45","Min","130"
"47.5/47.5","102","47.5","47.5","Min","12"
"47.5/50","119","50","47.5","Min","29"
"47.5/52.5","132","52.5","47.5","Min","46"
"47.5/55","144","55","47.5","Min","63"
"47.5/57.5","160","57.5","47.5","Min","80"
"47.5/60","167","60","47.5","Min","97"
"47.5/62.5","175","62.5","47.5","Min","114"
"47.5/65","182","65","47.5","Min","131"
"50/47.5","102","47.5","50","Min","13"
"50/50","118","50","50","Min","30"
"50/52.5","123","52.5","50","Min","47"
"50/55","143","55","50","Min","64"
"50/57.5","160","57.5","50","Min","81"
"50/60","166","60","50","Min","98"
"50/62.5","174","62.5","50","Min","115"
"50/65","182","65","50","Min","132"
"52.5/47.5","102","47.5","52.5","Min","14"
"52.5/50","118","50","52.5","Min","31"
"52.5/52.5","122","52.5","52.5","Min","48"
"52.5/55","135","55","52.5","Min","65"
"52.5/57.5","160","57.5","52.5","Min","82"
"52.5/60","166","60","52.5","Min","99"
"52.5/62.5","176","62.5","52.5","Min","116"
"52.5/65","181","65","52.5","Min","133"
"55/47.5","102","47.5","55","Min","15"
"55/50","109","50","55","Min","32"
"55/52.5","122","52.5","55","Min","49"
"55/55","138","55","55","Min","66"
"55/57.5","158","57.5","55","Min","83"
"55/60","166","60","55","Min","100"
"55/62.5","177","62.5","55","Min","117"
"55/65","182","65","55","Min","134"
"57.5/47.5","103","47.5","57.5","Min","16"
"57.5/50","118","50","57.5","Min","33"
"57.5/52.5","133","52.5","57.5","Min","50"
"57.5/55","158","55","57.5","Min","67"
"57.5/57.5","158","57.5","57.5","Min","84"
"57.5/60","165","60","57.5","Min","101"
"57.5/62.5","178","62.5","57.5","Min","118"
"57.5/65","182","65","57.5","Min","135"
"60/47.5","104","47.5","60","Min","17"
"60/50","118","50","60","Min","34"
"60/52.5","132","52.5","60","Min","51"
"60/55","143","55","60","Min","68"
"60/57.5","158","57.5","60","Min","85"
"60/60","163","60","60","Min","102"
"60/62.5","177","62.5","60","Min","119"
"60/65","188","65","60","Min","136"
