"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"20/47.5","132","47.5","20","Min","1"
"20/50","155","50","20","Min","18"
"22.5/47.5","128","47.5","22.5","Min","2"
"22.5/50","152","50","22.5","Min","19"
"25/47.5","162","47.5","25","Min","3"
"25/50","155","50","25","Min","20"
"25/52.5","179","52.5","25","Min","37"
"27.5/47.5","149","47.5","27.5","Min","4"
"27.5/50","155","50","27.5","Min","21"
"27.5/52.5","171","52.5","27.5","Min","38"
"30/47.5","145","47.5","30","Min","5"
"30/50","154","50","30","Min","22"
"30/52.5","165","52.5","30","Min","39"
"32.5/47.5","139","47.5","32.5","Min","6"
"32.5/50","152","50","32.5","Min","23"
"32.5/52.5","161","52.5","32.5","Min","40"
"32.5/55","188","55","32.5","Min","57"
"35/47.5","136","47.5","35","Min","7"
"35/50","152","50","35","Min","24"
"35/52.5","163","52.5","35","Min","41"
"35/55","179","55","35","Min","58"
"37.5/47.5","138","47.5","37.5","Min","8"
"37.5/50","152","50","37.5","Min","25"
"37.5/52.5","161","52.5","37.5","Min","42"
"37.5/55","177","55","37.5","Min","59"
"37.5/57.5","191","57.5","37.5","Min","76"
"40/47.5","139","47.5","40","Min","9"
"40/50","151","50","40","Min","26"
"40/52.5","158","52.5","40","Min","43"
"40/55","171","55","40","Min","60"
"40/57.5","188","57.5","40","Min","77"
"42.5/47.5","138","47.5","42.5","Min","10"
"42.5/50","151","50","42.5","Min","27"
"42.5/52.5","157","52.5","42.5","Min","44"
"42.5/55","166","55","42.5","Min","61"
"42.5/57.5","180","57.5","42.5","Min","78"
"42.5/60","199","60","42.5","Min","95"
"45/47.5","138","47.5","45","Min","11"
"45/50","151","50","45","Min","28"
"45/52.5","157","52.5","45","Min","45"
"45/55","166","55","45","Min","62"
"45/57.5","179","57.5","45","Min","79"
"45/60","191","60","45","Min","96"
"47.5/47.5","140","47.5","47.5","Min","12"
"47.5/50","148","50","47.5","Min","29"
"47.5/52.5","157","52.5","47.5","Min","46"
"47.5/55","165","55","47.5","Min","63"
"47.5/57.5","178","57.5","47.5","Min","80"
"47.5/60","188","60","47.5","Min","97"
"47.5/62.5","200","62.5","47.5","Min","114"
"50/47.5","136","47.5","50","Min","13"
"50/50","146","50","50","Min","30"
"50/52.5","154","52.5","50","Min","47"
"50/55","164","55","50","Min","64"
"50/57.5","178","57.5","50","Min","81"
"50/60","187","60","50","Min","98"
"50/62.5","195","62.5","50","Min","115"
"52.5/47.5","131","47.5","52.5","Min","14"
"52.5/50","145","50","52.5","Min","31"
"52.5/52.5","152","52.5","52.5","Min","48"
"52.5/55","159","55","52.5","Min","65"
"52.5/57.5","178","57.5","52.5","Min","82"
"52.5/60","186","60","52.5","Min","99"
"52.5/62.5","194","62.5","52.5","Min","116"
"55/47.5","124","47.5","55","Min","15"
"55/50","143","50","55","Min","32"
"55/52.5","152","52.5","55","Min","49"
"55/55","161","55","55","Min","66"
"55/57.5","176","57.5","55","Min","83"
"55/60","183","60","55","Min","100"
"55/62.5","194","62.5","55","Min","117"
"57.5/47.5","128","47.5","57.5","Min","16"
"57.5/50","145","50","57.5","Min","33"
"57.5/52.5","158","52.5","57.5","Min","50"
"57.5/55","176","55","57.5","Min","67"
"57.5/57.5","176","57.5","57.5","Min","84"
"57.5/60","184","60","57.5","Min","101"
"57.5/62.5","195","62.5","57.5","Min","118"
"60/47.5","130","47.5","60","Min","17"
"60/50","145","50","60","Min","34"
"60/52.5","156","52.5","60","Min","51"
"60/55","163","55","60","Min","68"
"60/57.5","177","57.5","60","Min","85"
"60/60","184","60","60","Min","102"
"60/62.5","201","62.5","60","Min","119"
