"NGRIPv2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"35","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"End veg. day","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365"
"Veg. sum days","364","364","364","364","364","364","364","364","364","364","364","364","364","364","364","364","364"
"Sum of temperature","8307.35","8421.91","7008.51","7641.15","6335.48","6013.31","7478.48","6067.45","7796.52","8246.68","8277.4","8183.99","8184.69","8187.67","7889.9","8597.52","8787.53"
"","","","","","","","","","","","","","","","","",""
"37.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","64"
"End veg. day","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365","365"
"Veg. sum days","364","364","364","364","364","364","364","364","364","364","364","364","364","364","364","364","301"
"Sum of temperature","7716.68","7122.21","6746.95","4647.59","7927.15","7892.88","7890.83","7849.01","7636.57","7701.82","6787.22","7718.11","7783.15","5520.11","7850.21","6972.95","4346.3"
"","","","","","","","","","","","","","","","","",""
"40","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","1","1","1","1","1","1","1","1","1","1","1","49","1","47","80"
"End veg. day","365","365","365","355","365","365","365","365","365","365","365","365","365","365","365","339","365"
"Veg. sum days","364","364","364","354","364","364","364","364","364","364","364","364","364","316","364","292","285"
"Sum of temperature","7269.94","5846.41","5170.3","4142.17","6392.58","7380.16","7334.6","7273.88","6894.67","7161.18","6716.85","6899.71","5254.97","5826.95","7110.8","5686.22","3953.82"
"","","","","","","","","","","","","","","","","",""
"42.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","1","53","91","52","1","1","1","55","1","1","101","93","91","81","1"
"End veg. day","365","365","304","331","294","365","365","365","365","327","365","365","304","308","312","327","365"
"Veg. sum days","364","364","303","278","203","313","364","364","364","272","364","364","203","215","221","246","364"
"Sum of temperature","6926.69","4716.69","3215.74","3536.73","2372.4","4266.79","6439.87","6605.43","6421.38","4149.46","6239.53","6328.17","3077.22","3583.85","3854.26","4831.37","6169.45"
"","","","","","","","","","","","","","","","","",""
"45","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","1","1","54","91","87","92","88","86","91","91","91","100","102","100","91"
"End veg. day","365","365","365","365","312","295","304","293","305","310","304","304","305","301","300","303","305"
"Veg. sum days","364","364","364","364","258","204","217","201","217","224","213","213","214","201","198","203","214"
"Sum of temperature","6419.35","6270.15","6189.67","5843.93","4315.78","2910","3453.42","2793.74","3898.01","4416.65","3989.89","4148.87","4254.37","3742.61","3471.3","4289.41","4608.57"
"","","","","","","","","","","","","","","","","",""
"47.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","1","1","1","84","85","88","91","91","119","121","119","101","101","99","121","111","111"
"End veg. day","365","365","365","304","303","303","293","291","268","263","287","294","297","301","287","292","293"
"Veg. sum days","364","364","364","220","218","215","202","200","149","142","168","193","196","202","166","181","182"
"Sum of temperature","5809.16","5393.98","5112.3","3857.8","3873.69","3781.13","3291.13","3054.23","1303.76","1103.7","2502.58","3688.55","3841.38","3775.66","2183.05","3441.44","3656.82"
"","","","","","","","","","","","","","","","","",""
"50","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","57","60","92","95","96","96","98","105","110","120","120","121","120","121","122","124","124"
"End veg. day","353","352","296","295","294","289","288","288","288","286","286","286","286","286","287","287","288"
"Veg. sum days","296","292","204","200","198","193","190","183","178","166","166","165","166","165","165","163","164"
"Sum of temperature","4158.05","4040.25","3147.21","3210.34","3356.11","3305.88","3151.7","3056.8","2990.46","2443.94","2719.22","2529.2","2682.52","2737.28","2795.86","2803.06","2891.83"
"","","","","","","","","","","","","","","","","",""
"52.5","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","121","122","122","124","121","118","111","118","121","137","155","175","171","155","140","139","138"
"End veg. day","276","271","252","272","285","287","287","286","270","242","235","233","236","268","268","269","280"
"Veg. sum days","155","149","130","148","164","169","176","168","149","105","80","58","65","113","128","130","142"
"Sum of temperature","1212.99","1094.28","962.15","1406.36","2202.52","2628.05","2835.02","2732.73","2251.16","760.13","527.22","382.06","473.11","1510.85","1804.94","1979.87","2214.82"
"","","","","","","","","","","","","","","","","",""
"55","-10","-7.5","-5","-2.5","0","2.5","5","7.5","10","12.5","15","17.5","20","22.5","25","27.5","30"
"Start veg. day","106","131","162","173","157","124","122","122","137","186","Inf","Inf","Inf","195","178","178","179"
"End veg. day","291","251","222","220","251","284","283","269","236","219","-Inf","-Inf","-Inf","218","230","230","231"
"Veg. sum days","185","120","60","47","94","160","161","147","99","33","-Inf","-Inf","-Inf","23","52","52","52"
"Sum of temperature","1602.83","637.39","381.89","293.86","636.75","2114.67","2260.08","1919.63","673.74","154.91","0","0","0","43.56","324.14","331.95","333.62"
