"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"-10/35","365","35","-10","Max","1"
"-10/37.5","365","37.5","-10","Max","82"
"-10/40","365","40","-10","Max","163"
"-10/42.5","365","42.5","-10","Max","244"
"-10/45","365","45","-10","Max","325"
"-10/47.5","365","47.5","-10","Max","406"
"-10/50","353","50","-10","Max","487"
"-10/52.5","276","52.5","-10","Max","568"
"-10/55","291","55","-10","Max","649"
"-7.5/35","365","35","-7.5","Max","6"
"-7.5/37.5","365","37.5","-7.5","Max","87"
"-7.5/40","365","40","-7.5","Max","168"
"-7.5/42.5","365","42.5","-7.5","Max","249"
"-7.5/45","365","45","-7.5","Max","330"
"-7.5/47.5","365","47.5","-7.5","Max","411"
"-7.5/50","352","50","-7.5","Max","492"
"-7.5/52.5","271","52.5","-7.5","Max","573"
"-7.5/55","251","55","-7.5","Max","654"
"-5/35","365","35","-5","Max","11"
"-5/37.5","365","37.5","-5","Max","92"
"-5/40","365","40","-5","Max","173"
"-5/42.5","304","42.5","-5","Max","254"
"-5/45","365","45","-5","Max","335"
"-5/47.5","365","47.5","-5","Max","416"
"-5/50","296","50","-5","Max","497"
"-5/52.5","252","52.5","-5","Max","578"
"-5/55","222","55","-5","Max","659"
"-2.5/35","365","35","-2.5","Max","16"
"-2.5/37.5","365","37.5","-2.5","Max","97"
"-2.5/40","355","40","-2.5","Max","178"
"-2.5/42.5","331","42.5","-2.5","Max","259"
"-2.5/45","365","45","-2.5","Max","340"
"-2.5/47.5","304","47.5","-2.5","Max","421"
"-2.5/50","295","50","-2.5","Max","502"
"-2.5/52.5","272","52.5","-2.5","Max","583"
"-2.5/55","220","55","-2.5","Max","664"
"0/35","365","35","0","Max","21"
"0/37.5","365","37.5","0","Max","102"
"0/40","365","40","0","Max","183"
"0/42.5","294","42.5","0","Max","264"
"0/45","312","45","0","Max","345"
"0/47.5","303","47.5","0","Max","426"
"0/50","294","50","0","Max","507"
"0/52.5","285","52.5","0","Max","588"
"0/55","251","55","0","Max","669"
"2.5/35","365","35","2.5","Max","26"
"2.5/37.5","365","37.5","2.5","Max","107"
"2.5/40","365","40","2.5","Max","188"
"2.5/42.5","365","42.5","2.5","Max","269"
"2.5/45","295","45","2.5","Max","350"
"2.5/47.5","303","47.5","2.5","Max","431"
"2.5/50","289","50","2.5","Max","512"
"2.5/52.5","287","52.5","2.5","Max","593"
"2.5/55","284","55","2.5","Max","674"
"5/35","365","35","5","Max","31"
"5/37.5","365","37.5","5","Max","112"
"5/40","365","40","5","Max","193"
"5/42.5","365","42.5","5","Max","274"
"5/45","304","45","5","Max","355"
"5/47.5","293","47.5","5","Max","436"
"5/50","288","50","5","Max","517"
"5/52.5","287","52.5","5","Max","598"
"5/55","283","55","5","Max","679"
"7.5/35","365","35","7.5","Max","36"
"7.5/37.5","365","37.5","7.5","Max","117"
"7.5/40","365","40","7.5","Max","198"
"7.5/42.5","365","42.5","7.5","Max","279"
"7.5/45","293","45","7.5","Max","360"
"7.5/47.5","291","47.5","7.5","Max","441"
"7.5/50","288","50","7.5","Max","522"
"7.5/52.5","286","52.5","7.5","Max","603"
"7.5/55","269","55","7.5","Max","684"
"10/35","365","35","10","Max","41"
"10/37.5","365","37.5","10","Max","122"
"10/40","365","40","10","Max","203"
"10/42.5","365","42.5","10","Max","284"
"10/45","305","45","10","Max","365"
"10/47.5","268","47.5","10","Max","446"
"10/50","288","50","10","Max","527"
"10/52.5","270","52.5","10","Max","608"
"10/55","236","55","10","Max","689"
"12.5/35","365","35","12.5","Max","46"
"12.5/37.5","365","37.5","12.5","Max","127"
"12.5/40","365","40","12.5","Max","208"
"12.5/42.5","327","42.5","12.5","Max","289"
"12.5/45","310","45","12.5","Max","370"
"12.5/47.5","263","47.5","12.5","Max","451"
"12.5/50","286","50","12.5","Max","532"
"12.5/52.5","242","52.5","12.5","Max","613"
"12.5/55","219","55","12.5","Max","694"
"15/35","365","35","15","Max","51"
"15/37.5","365","37.5","15","Max","132"
"15/40","365","40","15","Max","213"
"15/42.5","365","42.5","15","Max","294"
"15/45","304","45","15","Max","375"
"15/47.5","287","47.5","15","Max","456"
"15/50","286","50","15","Max","537"
"15/52.5","235","52.5","15","Max","618"
"17.5/35","365","35","17.5","Max","56"
"17.5/37.5","365","37.5","17.5","Max","137"
"17.5/40","365","40","17.5","Max","218"
"17.5/42.5","365","42.5","17.5","Max","299"
"17.5/45","304","45","17.5","Max","380"
"17.5/47.5","294","47.5","17.5","Max","461"
"17.5/50","286","50","17.5","Max","542"
"17.5/52.5","233","52.5","17.5","Max","623"
"20/35","365","35","20","Max","61"
"20/37.5","365","37.5","20","Max","142"
"20/40","365","40","20","Max","223"
"20/42.5","304","42.5","20","Max","304"
"20/45","305","45","20","Max","385"
"20/47.5","297","47.5","20","Max","466"
"20/50","286","50","20","Max","547"
"20/52.5","236","52.5","20","Max","628"
"22.5/35","365","35","22.5","Max","66"
"22.5/37.5","365","37.5","22.5","Max","147"
"22.5/40","365","40","22.5","Max","228"
"22.5/42.5","308","42.5","22.5","Max","309"
"22.5/45","301","45","22.5","Max","390"
"22.5/47.5","301","47.5","22.5","Max","471"
"22.5/50","286","50","22.5","Max","552"
"22.5/52.5","268","52.5","22.5","Max","633"
