"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"-10/35","1","35","-10","Min","1"
"-10/37.5","135","37.5","-10","Min","82"
"-10/40","152","40","-10","Min","163"
"-10/42.5","152","42.5","-10","Min","244"
"-10/45","152","45","-10","Min","325"
"-10/47.5","158","47.5","-10","Min","406"
"-10/50","161","50","-10","Min","487"
"-7.5/35","1","35","-7.5","Min","6"
"-7.5/37.5","136","37.5","-7.5","Min","87"
"-7.5/40","152","40","-7.5","Min","168"
"-7.5/42.5","167","42.5","-7.5","Min","249"
"-7.5/45","152","45","-7.5","Min","330"
"-7.5/47.5","157","47.5","-7.5","Min","411"
"-7.5/50","164","50","-7.5","Min","492"
"-5/35","145","35","-5","Min","11"
"-5/37.5","144","37.5","-5","Min","92"
"-5/40","158","40","-5","Min","173"
"-5/45","152","45","-5","Min","335"
"-5/47.5","152","47.5","-5","Min","416"
"-5/50","161","50","-5","Min","497"
"-2.5/35","131","35","-2.5","Min","16"
"-2.5/37.5","161","37.5","-2.5","Min","97"
"-2.5/40","162","40","-2.5","Min","178"
"-2.5/42.5","172","42.5","-2.5","Min","259"
"-2.5/45","152","45","-2.5","Min","340"
"-2.5/47.5","152","47.5","-2.5","Min","421"
"-2.5/50","156","50","-2.5","Min","502"
"0/35","152","35","0","Min","21"
"0/37.5","127","37.5","0","Min","102"
"0/40","147","40","0","Min","183"
"0/45","152","45","0","Min","345"
"0/47.5","152","47.5","0","Min","426"
"0/50","152","50","0","Min","507"
"2.5/35","152","35","2.5","Min","26"
"2.5/37.5","128","37.5","2.5","Min","107"
"2.5/40","131","40","2.5","Min","188"
"2.5/42.5","152","42.5","2.5","Min","269"
"2.5/47.5","152","47.5","2.5","Min","431"
"2.5/50","152","50","2.5","Min","512"
"2.5/52.5","162","52.5","2.5","Min","593"
"5/35","127","35","5","Min","31"
"5/37.5","128","37.5","5","Min","112"
"5/40","139","40","5","Min","193"
"5/42.5","145","42.5","5","Min","274"
"5/45","160","45","5","Min","355"
"5/47.5","152","47.5","5","Min","436"
"5/50","152","50","5","Min","517"
"5/52.5","152","52.5","5","Min","598"
"5/55","163","55","5","Min","679"
"7.5/35","148","35","7.5","Min","36"
"7.5/37.5","128","37.5","7.5","Min","117"
"7.5/40","139","40","7.5","Min","198"
"7.5/42.5","143","42.5","7.5","Min","279"
"7.5/45","174","45","7.5","Min","360"
"7.5/47.5","162","47.5","7.5","Min","441"
"7.5/50","152","50","7.5","Min","522"
"7.5/52.5","153","52.5","7.5","Min","603"
"10/35","119","35","10","Min","41"
"10/37.5","128","37.5","10","Min","122"
"10/40","141","40","10","Min","203"
"10/42.5","142","42.5","10","Min","284"
"10/45","152","45","10","Min","365"
"10/50","152","50","10","Min","527"
"10/52.5","175","52.5","10","Min","608"
"12.5/35","107","35","12.5","Min","46"
"12.5/37.5","128","37.5","12.5","Min","127"
"12.5/40","140","40","12.5","Min","208"
"12.5/42.5","152","42.5","12.5","Min","289"
"12.5/45","141","45","12.5","Min","370"
"12.5/50","173","50","12.5","Min","532"
"15/35","121","35","15","Min","51"
"15/37.5","140","37.5","15","Min","132"
"15/40","140","40","15","Min","213"
"15/42.5","141","42.5","15","Min","294"
"15/45","149","45","15","Min","375"
"15/47.5","173","47.5","15","Min","456"
"15/50","154","50","15","Min","537"
"17.5/35","121","35","17.5","Min","56"
"17.5/37.5","128","37.5","17.5","Min","137"
"17.5/40","130","40","17.5","Min","218"
"17.5/42.5","146","42.5","17.5","Min","299"
"17.5/45","146","45","17.5","Min","380"
"17.5/47.5","148","47.5","17.5","Min","461"
"17.5/50","159","50","17.5","Min","542"
"20/35","122","35","20","Min","61"
"20/37.5","126","37.5","20","Min","142"
"20/40","149","40","20","Min","223"
"20/42.5","169","42.5","20","Min","304"
"20/45","146","45","20","Min","385"
"20/47.5","148","47.5","20","Min","466"
"20/50","155","50","20","Min","547"
"22.5/35","122","35","22.5","Min","66"
"22.5/37.5","149","37.5","22.5","Min","147"
"22.5/40","132","40","22.5","Min","228"
"22.5/42.5","152","42.5","22.5","Min","309"
"22.5/45","151","45","22.5","Min","390"
"22.5/47.5","150","47.5","22.5","Min","471"
"22.5/50","155","50","22.5","Min","552"
"25/35","124","35","25","Min","71"
"25/37.5","120","37.5","25","Min","152"
"25/40","132","40","25","Min","233"
"25/42.5","152","42.5","25","Min","314"
"25/45","152","45","25","Min","395"
"25/50","155","50","25","Min","557"
"25/52.5","185","52.5","25","Min","638"
"27.5/35","111","35","27.5","Min","76"
"27.5/37.5","130","37.5","27.5","Min","157"
"27.5/40","134","40","27.5","Min","238"
"27.5/42.5","148","42.5","27.5","Min","319"
"27.5/45","146","45","27.5","Min","400"
"27.5/47.5","152","47.5","27.5","Min","481"
"27.5/50","155","50","27.5","Min","562"
"27.5/52.5","178","52.5","27.5","Min","643"
"30/35","109","35","30","Min","81"
"30/37.5","152","37.5","30","Min","162"
"30/40","152","40","30","Min","243"
"30/42.5","150","42.5","30","Min","324"
"30/45","140","45","30","Min","405"
"30/47.5","150","47.5","30","Min","486"
"30/50","156","50","30","Min","567"
"30/52.5","175","52.5","30","Min","648"
